"";"BISE_01";"BISE_02";"BISE_03";"BISE_04";"BISE_05";"BISE_06";"BISE_07";"BISE_08";"BISE_09";"BISE_10";"BISE_11";"BISE_12";"BISE_13";"BISE_14";"BISE_15";"BISE_16";"BISE_17";"BISE_18";"BISE_19";"BISE_20";"BISE_21";"BISE_22";"BISE_23";"BISE_24";"BISE_25";"BISE_26";"BISE_27";"BISE_28";"BISE_29";"BISE_30";"BISE_31";"BISE_32";"BISE_33";"BISE_34";"BISE_35";"BISE_36";"BISE_37";"BISE_38";"BISE_39";"BISE_40";"BISE_41";"BISE_42";"BISE_43";"BISE_44";"BISE_45";"BISE_46";"BISE_47";"BISE_48";"BISE_49";"BISE_50";"BISE_51";"BISE_52";"BISE_53";"BISE_54";"BISE_55";"BISE_56";"BISE_57";"BISE_58";"BISE_59";"BISE_60";"BISE_61";"BISE_62";"BISE_63";"BISE_64"
"BISE_01";0;0,24390243902439;0,0810810810810811;0,135135135135135;0,131578947368421;0,162162162162162;0,222222222222222;0,3;0,395833333333333;0,157894736842105;0,238095238095238;0,101449275362319;0,247058823529412;0,27710843373494;0,340909090909091;0,232142857142857;0,272727272727273;0,146666666666667;0,146666666666667;0,341176470588235;0,162162162162162;0,253012048192771;0,310344827586207;0,0985915492957747;0,171428571428571;0,175;0,362637362637363;0,326530612244898;0,0786516853932584;0,262295081967213;0,272727272727273;0,326732673267327;0,382978723404255;0,333333333333333;0,304347826086957;0,34020618556701;0,210526315789474;0,272727272727273;0,341176470588235;0,108108108108108;0,346938775510204;0,383177570093458;0,0704225352112675;0,395833333333333;0,381443298969072;0,263157894736842;0,284210526315789;0,169491525423729;0,244444444444444;0,290909090909091;0,221238938053097;0,0485436893203883;0,235294117647059;0,36734693877551;0,145454545454546;0,307692307692308;0,168;0,293103448275862;0,292929292929293;0,156862745098039;0,145631067961165;0,196581196581197;0,298969072164949;0,318181818181818
"BISE_02";0,24390243902439;0;0,131578947368421;0,0886075949367089;0,0810810810810811;0,178082191780822;0,142857142857143;0,25;0,341463414634146;0,333333333333333;0,296703296703297;0,125;0,0329670329670331;0,340425531914894;0,27710843373494;0,0652173913043479;0,14;0,130434782608696;0,387755102040816;0,369369369369369;0,128205128205128;0,333333333333333;0,36283185840708;0,0422535211267605;0,307692307692308;0,282608695652174;0,333333333333333;0,288461538461539;0,360824742268041;0,234782608695652;0,0555555555555556;0,279069767441861;0,275;0,285714285714286;0,234042553191489;0,310344827586207;0,264367816091954;0,266666666666667;0,352941176470588;0,088235294117647;0,301204819277108;0,264367816091954;0,296703296703297;0,373737373737374;0,325301204819277;0,407407407407407;0,209876543209877;0,173553719008265;0,218181818181818;0,0666666666666667;0,36734693877551;0,116666666666667;0,25;0,394495412844037;0,25;0,320754716981132;0,236363636363636;0,247706422018349;0,333333333333333;0,0350877192982457;0,162790697674419;0,0629370629370629;0,174311926605505;0,353535353535354
"BISE_03";0,0810810810810811;0,25;0;0,223529411764706;0,0769230769230769;0,178082191780822;0,181818181818182;0,166666666666667;0,142857142857143;0,252747252747253;0,383177570093458;0,114285714285714;0,195121951219512;0,283950617283951;0,245283018867924;0,0666666666666667;0,192307692307692;0,171428571428571;0,405940594059406;0,403846153846154;0,204819277108434;0,292682926829268;0,358490566037736;0,146666666666667;0,0810810810810811;0,333333333333333;0,186046511627907;0,235955056179775;0,209876543209877;0,153846153846154;0,318681318681319;0,313131313131313;0,12;0,223529411764706;0,37037037037037;0,11578947368421;0,220779220779221;0,307692307692308;0,25;0,130434782608696;0,3125;0,294117647058824;0,302325581395349;0,36;0,153846153846154;0,382978723404255;0,236842105263158;0,360824742268041;0,219047619047619;0,113636363636364;0,225225225225225;0,204081632653061;0,152542372881356;0,353535353535354;0,0793650793650793;0,204301075268817;0,170731707317073;0,26530612244898;0,422222222222222;0,0677966101694916;0,213114754098361;0,0588235294117647;0,221238938053097;0,325842696629213
"BISE_04";0,131578947368421;0,195121951219512;0,162162162162162;0;0,228915662650602;0,142857142857143;0,28;0,406593406593407;0,36;0,311111111111111;0,310344827586207;0,219512195121951;0,225;0,36;0,26605504587156;0,0927835051546391;0,188679245283019;0,12;0,402597402597403;0,376344086021505;0,0540540540540539;0,194805194805195;0,305263157894737;0,0724637681159421;0,297872340425532;0,326530612244898;0,353535353535354;0,274509803921569;0,2;0,2;0,340909090909091;0,101449275362319;0,346938775510204;0,2;0,352380952380952;0,189873417721519;0,0561797752808988;0,386138613861386;0,354838709677419;0,135135135135135;0,121212121212121;0,282608695652174;0,247058823529412;0,176470588235294;0,346534653465347;0,235955056179775;0,353535353535354;0,266666666666667;0,0576923076923077;0,136842105263158;0,283950617283951;0,117117117117117;0,165217391304348;0,207207207207207;0,089430894308943;0,306930693069307;0,397849462365591;0,307692307692308;0,339805825242719;0,1;0,225225225225225;0,136;0,234782608695652;0,188118811881188
"BISE_05";0,135135135135135;0,2;0,138888888888889;0,0810810810810811;0;0,0985915492957747;0,25531914893617;0,386363636363636;0,378640776699029;0,239130434782609;0,36283185840708;0,319148936170213;0,214285714285714;0,104166666666667;0,152941176470588;0,221238938053097;0,311827956989247;0,209302325581395;0,171428571428571;0,333333333333333;0,123287671232877;0,4;0,306930693069307;0,114285714285714;0,325842696629213;0,223529411764706;0,317647058823529;0,138888888888889;0,175257731958763;0,136842105263158;0,295238095238095;0,175;0,366336633663366;0,131578947368421;0,333333333333333;0,224489795918367;0,168316831683168;0,365384615384615;0,265822784810127;0,223529411764706;0,168831168831169;0,37037037037037;0,264367816091954;0,342105263157895;0,346153846153846;0,392857142857143;0,352941176470588;0,183673469387755;0,188679245283019;0,261261261261261;0,260869565217391;0,257731958762887;0,186440677966102;0,089430894308943;0,0952380952380953;0,288461538461539;0,365384615384615;0,191011235955056;0,342465753424658;0,177570093457944;0,162393162393162;0,129770992366412;0,333333333333333;0,0619469026548674
"BISE_06";0,0886075949367089;0,247058823529412;0,116883116883117;0,113924050632911;0,0909090909090908;0;0,311111111111111;0,39047619047619;0,341772151898734;0,39622641509434;0,377358490566038;0,326530612244898;0,280898876404494;0,069767441860465;0,307692307692308;0,139784946236559;0,162162162162162;0,26027397260274;0,41025641025641;0,261904761904762;0,0684931506849316;0,398058252427185;0,255813953488372;0,12;0,272727272727273;0,227272727272727;0,125;0,0843373493975903;0,192982456140351;0,185185185185185;0,253012048192771;0,0857142857142856;0,376623376623377;0,12;0,25;0,2;0,219047619047619;0,142857142857143;0,162162162162162;0,138888888888889;0,104477611940299;0,272727272727273;0,346534653465347;0,0555555555555556;0,4;0,391304347826087;0,282051282051282;0,297872340425532;0,133333333333333;0,164835164835165;0,317073170731707;0,391304347826087;0,183673469387755;0,133858267716535;0,188679245283019;0,35;0,425531914893617;0,313725490196078;0,380952380952381;0,2;0,0784313725490196;0,241379310344828;0,23728813559322;0,0940170940170941
"BISE_07";0,223529411764706;0,0329670329670331;0,27710843373494;0,176470588235294;0,204819277108434;0,227272727272727;0;0,204819277108434;0,111111111111111;0,359223300970874;0,368421052631579;0,3;0,2;0,361702127659574;0,395348837209302;0,260504201680672;0,138888888888889;0,282608695652174;0,162162162162162;0,34020618556701;0,142857142857143;0,316455696202532;0,333333333333333;0,209302325581395;0,288888888888889;0,0886075949367089;0,339805825242719;0,123287671232877;0,326086956521739;0,205128205128205;0,3125;0,170731707317073;0,0857142857142856;0,12;0,255813953488372;0,214285714285714;0,214953271028037;0,195121951219512;0,402061855670103;0,296703296703297;0,189873417721519;0,368421052631579;0,346938775510204;0,347826086956522;0,123287671232877;0,428571428571429;0,23943661971831;0,245614035087719;0,17948717948718;0,299145299145299;0,148936170212766;0,147826086956522;0,1875;0,147286821705426;0,192307692307692;0,123287671232877;0,30188679245283;0,277777777777778;0,351351351351351;0,14018691588785;0,182608695652174;0,147286821705426;0,0833333333333333;0,109243697478992
"BISE_08";0,131578947368421;0,195121951219512;0,189189189189189;0,0263157894736843;0,0540540540540539;0,0886075949367089;0,152941176470588;0;0,4;0,339622641509434;0,326732673267327;0,218390804597701;0,189873417721519;0,205128205128205;0,219512195121951;0,232142857142857;0,116883116883117;0,340909090909091;0,340425531914894;0,164179104477612;0,0704225352112675;0,194444444444444;0,101449275362319;0,150684931506849;0,326923076923077;0,0649350649350648;0,339622641509434;0,2;0,180952380952381;0,280898876404494;0,268292682926829;0,276595744680851;0,384615384615385;0,0886075949367089;0,268817204301075;0,111111111111111;0,0851063829787233;0,213483146067416;0,4;0,218390804597701;0,296703296703297;0,345794392523364;0,366336633663366;0,379310344827586;0,358024691358025;0,19047619047619;0,215189873417722;0,376146788990826;0,166666666666667;0,290909090909091;0,245283018867924;0,152542372881356;0,223300970873786;0,224137931034483;0,135135135135135;0,382716049382716;0,169491525423729;0,397590361445783;0,209302325581395;0,305785123966942;0,270588235294118;0,373737373737374;0,0656934306569343;0,207547169811321
"BISE_09";0,0810810810810811;0,225;0,0833333333333333;0,162162162162162;0,111111111111111;0,0649350649350648;0,228915662650602;0,135135135135135;0;0,255813953488372;0,255813953488372;0,25;0,189873417721519;0,195876288659794;0,176470588235294;0,148514851485148;0,27710843373494;0,282051282051282;0,303370786516854;0,128205128205128;0,138888888888889;0,3;0,175;0,304347826086957;0,386138613861386;0,0864197530864197;0,365853658536585;0,298969072164949;0,340659340659341;0,215189873417722;0,168831168831169;0,326530612244898;0,135135135135135;0,123287671232877;0,376146788990826;0,262135922330097;0,0985915492957747;0,352380952380952;0,342105263157895;0,246753246753247;0,347368421052632;0,333333333333333;0,185185185185185;0,279069767441861;0,116883116883117;0,41304347826087;0,173333333333333;0,296296296296296;0,0800000000000001;0,191919191919192;0,236363636363636;0,276595744680851;0,176470588235294;0,262135922330097;0,102362204724409;0,142857142857143;0,147540983606557;0,315068493150685;0,306122448979592;0,271186440677966;0,166666666666667;0,327272727272727;0,111111111111111;0,153153153153153
"BISE_10";0,0769230769230769;0,214285714285714;0,105263157894737;0,128205128205128;0,131578947368421;0,0864197530864197;0,195402298850575;0,102564102564103;0,0526315789473684;0;0,333333333333333;0,195121951219512;0,228915662650602;0,170212765957447;0,175257731958763;0,196261682242991;0,189189189189189;0,209302325581395;0,340909090909091;0,176470588235294;0,142857142857143;0,0789473684210527;0,0857142857142856;0,227272727272727;0,365384615384615;0,232558139534884;0,0933333333333333;0,287128712871287;0,255813953488372;0,274725274725275;0,38;0,34;0,361702127659574;0,189189189189189;0,303370786516854;0,146067415730337;0,0422535211267605;0,317647058823529;0,217391304347826;0,270588235294118;0,34020618556701;0,313725490196078;0,189873417721519;0,318181818181818;0,34020618556701;0,204545454545455;0,389473684210526;0,327272727272727;0,102040816326531;0,219047619047619;0,214285714285714;0,379310344827586;0,232323232323232;0,146067415730337;0,158878504672897;0,402061855670103;0,161290322580645;0,388235294117647;0,333333333333333;0,239669421487603;0,279069767441861;0,38;0,106060606060606;0,032258064516129
