"LECA_id";"Site";"Parcelle";"Echantillon";"Repet";"Couples";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16"
"BISE01_a";"Mons";"T1";1;1;"A+";1;34;13;48;3;6;3;1;14;4;0;3;0;0;221;41
"BISE01_b";"Mons";"T1";1;2;"A+";4;34;17;51;3;9;4;0;13;4;0;5;0;0;228;42
"BISE01_c";"Mons";"T1";1;3;"A+";4;36;14;44;2;6;2;0;9;5;0;3;0;0;216;37
"BISE01_d";"Mons";"T1";1;4;"A+";1;31;14;46;1;8;1;0;13;3;0;3;0;0;219;43
"BISE02_a";"Mons";"T1";2;1;"A+";2;36;15;43;3;6;3;0;14;3;0;3;0;0;211;38
"BISE02_b";"Mons";"T1";2;2;"A+";2;41;13;46;3;11;5;0;18;5;0;2;1;0;216;38
"BISE02_c";"Mons";"T1";2;3;"A+";1;38;14;47;2;7;4;0;11;5;0;1;0;0;218;37
"BISE02_d";"Mons";"T1";2;4;"A+";1;34;11;47;5;7;3;0;18;4;0;3;0;0;214;38
"BISE03_a";"Mons";"T1";3;1;"A+";1;32;19;37;3;7;3;0;14;6;0;4;0;0;212;39
"BISE03_b";"Mons";"T1";3;2;"A+";0;25;15;35;2;6;3;1;8;5;0;4;0;0;189;37
"BISE03_c";"Mons";"T1";3;3;"A+";2;23;16;35;1;7;3;0;9;5;0;4;0;0;187;39
"BISE03_d";"Mons";"T1";3;4;"A+";2;27;16;37;2;8;3;0;8;5;0;4;0;0;215;41
"BISE04_a";"Mons";"T1";4;1;"A+";1;25;10;33;1;8;2;0;10;3;0;2;0;0;200;36
"BISE04_b";"Mons";"T1";4;2;"A+";2;38;10;44;2;11;2;0;13;5;0;2;0;0;224;46
"BISE04_c";"Mons";"T1";4;3;"A+";3;25;12;41;3;10;4;0;12;4;0;3;0;0;200;37
"BISE04_d";"Mons";"T1";4;4;"A+";2;31;10;40;1;6;3;0;14;4;0;2;0;0;198;37
"BISE05_a";"Mons";"T2";1;1;"B+";0;30;7;16;2;6;3;0;7;3;0;2;0;0;215;34
"BISE05_b";"Mons";"T2";1;2;"B+";1;36;13;33;1;12;4;0;10;2;0;2;0;0;214;51
"BISE05_c";"Mons";"T2";1;3;"B+";2;39;10;39;2;10;4;0;12;8;0;2;0;0;209;49
"BISE05_d";"Mons";"T2";1;4;"B+";0;29;10;23;3;7;3;0;12;5;0;3;0;0;222;42
"BISE06_a";"Mons";"T2";2;1;"B+";2;40;11;43;3;8;4;0;10;4;0;2;0;0;226;47
"BISE06_b";"Mons";"T2";2;2;"B+";1;54;15;42;4;9;5;0;13;5;0;3;0;0;240;52
"BISE06_c";"Mons";"T2";2;3;"B+";3;47;14;44;3;9;5;1;12;8;0;3;0;0;227;45
"BISE06_d";"Mons";"T2";2;4;"B+";1;45;11;38;3;9;4;1;13;7;0;3;0;0;219;44
"BISE07_a";"Mons";"T2";3;1;"B+";3;45;16;38;2;10;3;0;10;5;0;4;1;0;221;54
"BISE07_b";"Mons";"T2";3;2;"B+";4;34;14;30;3;9;3;0;13;5;0;3;0;0;184;47
"BISE07_c";"Mons";"T2";3;3;"B+";3;45;14;37;3;7;3;0;9;6;0;3;0;0;199;53
"BISE07_d";"Mons";"T2";3;4;"B+";4;46;18;41;3;10;3;0;10;5;0;4;0;0;236;52
"BISE08_a";"Mons";"T2";4;1;"B+";1;43;10;37;3;9;4;0;15;7;0;3;0;0;234;49
"BISE08_b";"Mons";"T2";4;2;"B+";3;39;12;32;3;10;4;0;13;5;0;3;0;0;217;47
"BISE08_c";"Mons";"T2";4;3;"B+";3;42;12;33;2;10;4;0;16;6;0;3;0;0;214;43
"BISE08_d";"Mons";"T2";4;4;"B+";2;37;15;36;3;12;4;0;15;6;0;4;0;0;235;50
"BISE09_a";"Mons";"T3";1;1;"B-";4;36;11;31;1;7;4;1;13;4;0;2;0;0;199;42
"BISE09_b";"Mons";"T3";1;2;"B-";3;38;13;25;2;8;3;0;12;7;0;3;0;0;186;40
"BISE09_c";"Mons";"T3";1;3;"B-";4;35;12;32;3;7;3;0;12;6;0;2;0;0;168;39
"BISE09_d";"Mons";"T3";1;4;"B-";2;38;13;30;3;10;2;0;10;5;0;2;0;0;191;38
"BISE10_a";"Mons";"T3";2;1;"B-";4;44;14;36;3;7;3;0;11;3;0;2;0;0;212;35
"BISE10_b";"Mons";"T3";2;2;"B-";3;42;11;37;5;6;3;0;15;7;0;3;0;0;216;47
"BISE10_c";"Mons";"T3";2;3;"B-";4;38;10;34;3;8;3;0;11;5;0;3;0;0;216;46
"BISE10_d";"Mons";"T3";2;4;"B-";4;39;11;39;2;6;2;1;11;5;0;3;0;0;219;39
"BISE11_a";"Mons";"T3";3;1;"B-";4;36;10;46;3;8;3;0;13;4;0;3;0;0;214;44
"BISE11_b";"Mons";"T3";3;2;"B-";2;43;16;39;3;10;4;0;14;5;1;3;0;0;214;34
"BISE11_c";"Mons";"T3";3;3;"B-";3;33;14;39;2;8;2;0;12;4;0;3;0;0;222;42
"BISE11_d";"Mons";"T3";3;4;"B-";3;32;13;39;1;10;2;0;15;6;0;3;0;0;219;40
"BISE12_a";"Mons";"T3";4;1;"B-";0;45;12;38;2;8;2;0;11;6;0;4;0;0;221;40
"BISE12_b";"Mons";"T3";4;2;"B-";0;45;13;36;2;9;3;0;10;5;0;3;0;0;230;52
"BISE12_c";"Mons";"T3";4;3;"B-";2;49;14;43;2;11;3;0;11;5;0;2;0;0;224;49
"BISE12_d";"Mons";"T3";4;4;"B-";1;37;15;32;2;8;2;0;12;4;0;3;0;0;220;42
"BISE13_a";"Mons";"T4";1;1;"A-";2;29;14;47;4;9;1;0;14;4;0;3;0;0;219;39
"BISE13_b";"Mons";"T4";1;2;"A-";0;30;13;44;4;9;2;0;14;4;0;2;0;0;223;48
"BISE13_c";"Mons";"T4";1;3;"A-";1;37;11;41;2;10;2;0;12;4;0;3;0;0;221;51
"BISE13_d";"Mons";"T4";1;4;"A-";1;29;13;49;5;9;3;0;13;6;0;3;0;0;226;40
"BISE14_a";"Mons";"T4";2;1;"A-";1;34;13;37;2;9;4;0;10;4;0;2;0;0;202;39
"BISE14_b";"Mons";"T4";2;2;"A-";1;35;12;39;3;12;3;0;12;4;0;2;0;0;217;41
"BISE14_c";"Mons";"T4";2;3;"A-";2;30;14;36;2;5;4;0;13;3;0;2;0;0;222;40
"BISE14_d";"Mons";"T4";2;4;"A-";3;31;9;38;1;7;3;0;14;4;0;3;0;0;211;44
"BISE15_a";"Mons";"T4";3;1;"A-";2;34;14;42;2;9;3;0;11;4;0;3;0;0;228;44
"BISE15_b";"Mons";"T4";3;2;"A-";3;37;12;45;3;7;2;0;17;5;0;3;0;0;241;44
"BISE15_c";"Mons";"T4";3;3;"A-";2;37;14;37;3;7;3;0;16;6;0;3;0;0;220;43
"BISE15_d";"Mons";"T4";3;4;"A-";4;34;12;40;2;7;3;1;14;4;0;4;0;0;227;46
"BISE16_a";"Mons";"T4";4;1;"A-";3;22;15;37;2;9;2;0;17;5;0;3;0;0;221;45
"BISE16_b";"Mons";"T4";4;2;"A-";2;28;12;42;3;9;2;0;11;5;0;3;0;0;233;48
"BISE16_c";"Mons";"T4";4;3;"A-";3;29;13;40;1;8;2;0;11;6;0;3;0;0;210;52
"BISE16_d";"Mons";"T4";4;4;"A-";2;38;14;41;2;13;2;0;15;5;0;2;0;0;217;50
"BISE17_a";"Lus";"T1";1;1;"C+";1;32;16;30;2;6;2;0;7;5;0;2;0;0;231;41
"BISE17_b";"Lus";"T1";1;2;"C+";2;26;16;26;0;7;4;0;7;4;0;2;0;0;240;44
"BISE17_c";"Lus";"T1";1;3;"C+";3;24;13;31;0;6;3;0;5;4;0;3;0;0;231;52
"BISE17_d";"Lus";"T1";1;4;"C+";3;26;14;29;1;6;1;0;6;3;0;3;0;0;245;52
"BISE18_a";"Lus";"T1";2;1;"C+";2;36;11;33;1;8;3;0;4;4;0;4;0;0;249;39
"BISE18_b";"Lus";"T1";2;2;"C+";4;28;12;26;2;9;3;0;5;3;0;2;0;0;245;44
