"LECA_id";"Site";"Parcelle";"Echantillon";"Repet";"Couples";"0";"1";"2"
"BISE01_a";"Mons";"T1";1;1;"A+";13;4,542647698574;2,82325273756155
"BISE01_b";"Mons";"T1";1;2;"A+";12;4,80866499679991;2,94869765681451
"BISE01_c";"Mons";"T1";1;3;"A+";12;4,47081472296924;2,76756798636399
"BISE01_d";"Mons";"T1";1;4;"A+";12;4,31597299966543;2,75022967171007
"BISE02_a";"Mons";"T1";2;1;"A+";12;4,60044938199429;2,86509968351241
"BISE02_b";"Mons";"T1";2;2;"A+";13;4,95804329139091;3,05827421594173
"BISE02_c";"Mons";"T1";2;3;"A+";12;4,43497432085087;2,79886327158745
"BISE02_d";"Mons";"T1";2;4;"A+";12;4,65840798439602;2,89733966652984
"BISE03_a";"Mons";"T1";3;1;"A+";12;4,70801979267182;2,86926415665691
"BISE03_b";"Mons";"T1";3;2;"A+";12;4,52557880816607;2,76958290946083
"BISE03_c";"Mons";"T1";3;3;"A+";12;4,62360891928851;2,83213131704795
"BISE03_d";"Mons";"T1";3;4;"A+";12;4,42536787976672;2,68453395710264
"BISE04_a";"Mons";"T1";4;1;"A+";12;4,10225542102551;2,53068625412884
"BISE04_b";"Mons";"T1";4;2;"A+";12;4,50079494191605;2,83765574033474
"BISE04_c";"Mons";"T1";4;3;"A+";12;4,7034096219643;2,84021576537782
"BISE04_d";"Mons";"T1";4;4;"A+";12;4,45012030187656;2,784
"BISE05_a";"Mons";"T2";1;1;"B+";11;3,54614490369071;2,1690247859211
"BISE05_b";"Mons";"T2";1;2;"B+";12;4,41229833766868;2,80433806446575
"BISE05_c";"Mons";"T2";1;3;"B+";12;4,77831785342868;3,00637610976594
"BISE05_d";"Mons";"T2";1;4;"B+";11;4,04355363733827;2,44263972859769
"BISE06_a";"Mons";"T2";2;1;"B+";12;4,46049810314889;2,80367281138291
"BISE06_b";"Mons";"T2";2;2;"B+";12;4,72127151509647;2,99456778820478
"BISE06_c";"Mons";"T2";2;3;"B+";13;4,94143099153866;3,04344317186668
"BISE06_d";"Mons";"T2";2;4;"B+";13;4,76162387043726;2,94310876593215
"BISE07_a";"Mons";"T2";3;1;"B+";13;4,85249339142013;3,04495389803753
"BISE07_b";"Mons";"T2";3;2;"B+";12;5,08295761749498;3,15260773909667
"BISE07_c";"Mons";"T2";3;3;"B+";12;4,91398644538709;3,1583914116272
"BISE07_d";"Mons";"T2";3;4;"B+";12;4,76465552149163;2,97190903879228
"BISE08_a";"Mons";"T2";4;1;"B+";12;4,56315404378791;2,82962293600592
"BISE08_b";"Mons";"T2";4;2;"B+";12;4,7069067087777;2,87715006497974
"BISE08_c";"Mons";"T2";4;3;"B+";12;4,80433057876562;2,94768170426065
"BISE08_d";"Mons";"T2";4;4;"B+";12;4,72972271259772;2,8749856710063
"BISE09_a";"Mons";"T3";1;1;"B-";13;4,67415733666489;2,86322844484835
"BISE09_b";"Mons";"T3";1;2;"B-";12;4,87933946905323;2,98538298641599
"BISE09_c";"Mons";"T3";1;3;"B-";12;5,15330702313648;3,21953402252739
"BISE09_d";"Mons";"T3";1;4;"B-";12;4,7033428304725;2,90866188182086
"BISE10_a";"Mons";"T3";2;1;"B-";12;4,54641957383712;2,8079656321516
"BISE10_b";"Mons";"T3";2;2;"B-";12;4,8018134111948;2,97298069777634
"BISE10_c";"Mons";"T3";2;3;"B-";12;4,57542183966354;2,80639922667955
"BISE10_d";"Mons";"T3";2;4;"B-";13;4,48990826488835;2,74608879892548
"BISE11_a";"Mons";"T3";3;1;"B-";12;4,68168193705627;2,92114250232847
"BISE11_b";"Mons";"T3";3;2;"B-";13;4,86873975883394;2,95543602025992
"BISE11_c";"Mons";"T3";3;3;"B-";12;4,43635524534943;2,72541771403223
"BISE11_d";"Mons";"T3";3;4;"B-";12;4,55641800317489;2,78563968172582
"BISE12_a";"Mons";"T3";4;1;"B-";11;4,41712871095669;2,78681007016704
"BISE12_b";"Mons";"T3";4;2;"B-";11;4,39356189383324;2,8061090320623
"BISE12_c";"Mons";"T3";4;3;"B-";12;4,68819154846321;3,00509500793914
"BISE12_d";"Mons";"T3";4;4;"B-";12;4,36022036156913;2,69470428485214
"BISE13_a";"Mons";"T4";1;1;"A-";12;4,52101358157775;2,79400953799174
"BISE13_b";"Mons";"T4";1;2;"A-";11;4,41514346972594;2,79015445759191
"BISE13_c";"Mons";"T4";1;3;"A-";12;4,46976000887113;2,84245140369095
"BISE13_d";"Mons";"T4";1;4;"A-";12;4,56512150972256;2,79364375985962
"BISE14_a";"Mons";"T4";2;1;"A-";12;4,53465400919818;2,81711279591521
"BISE14_b";"Mons";"T4";2;2;"A-";12;4,51375746752247;2,79225575624675
"BISE14_c";"Mons";"T4";2;3;"A-";12;4,24678327859791;2,60020184274955
"BISE14_d";"Mons";"T4";2;4;"A-";12;4,43288168823475;2,75073123171921
"BISE15_a";"Mons";"T4";3;1;"A-";12;4,42946475813504;2,7377094972067
"BISE15_b";"Mons";"T4";3;2;"A-";12;4,45181698262579;2,74532830849583
"BISE15_c";"Mons";"T4";3;3;"A-";12;4,65425982054934;2,85465409392214
"BISE15_d";"Mons";"T4";3;4;"A-";13;4,58269799576855;2,78625202279603
"BISE16_a";"Mons";"T4";4;1;"A-";12;4,4915106342075;2,72015365876511
"BISE16_b";"Mons";"T4";4;2;"A-";12;4,327132671993;2,66055292418287
"BISE16_c";"Mons";"T4";4;3;"A-";12;4,57441200365213;2,87736115026783
"BISE16_d";"Mons";"T4";4;4;"A-";12;4,75871044387302;3,01435935889024
"BISE17_a";"Lus";"T1";1;1;"C+";12;3,99363747150235;2,45226262097829
"BISE17_b";"Lus";"T1";1;2;"C+";11;3,8202984917979;2,33158186743253
"BISE17_c";"Lus";"T1";1;3;"C+";11;3,89237611288758;2,42980561555076
"BISE17_d";"Lus";"T1";1;4;"C+";12;3,76641330927807;2,34449901615977
"BISE18_a";"Lus";"T1";2;1;"C+";12;3,83143287440263;2,34658524049944
"BISE18_b";"Lus";"T1";2;2;"C+";12;3,81906373391099;2,30234018175255
"BISE18_c";"Lus";"T1";2;3;"C+";12;4,18125083832963;2,54631351833941
"BISE18_d";"Lus";"T1";2;4;"C+";13;4,07048891824649;2,46898678125102
"BISE19_a";"Lus";"T1";3;1;"C+";13;4,10328446018794;2,5304104878573
"BISE19_b";"Lus";"T1";3;2;"C+";13;4,09541149120554;2,46191408733691
"BISE19_c";"Lus";"T1";3;3;"C+";14;4,21129999684301;2,53035160026459
"BISE19_d";"Lus";"T1";3;4;"C+";13;4,16839678934918;2,55642311169557
"BISE20_a";"Lus";"T1";4;1;"C+";12;3,91644225982828;2,38381687851951
"BISE20_b";"Lus";"T1";4;2;"C+";12;4,29479845124299;2,56735270193533
"BISE20_c";"Lus";"T1";4;3;"C+";12;4,01577633221764;2,45882721528902
"BISE20_d";"Lus";"T1";4;4;"C+";12;4,09135876322816;2,48618023644272
"BISE21_a";"Lus";"T2";1;1;"C-";12;4,0796127575132;2,52275777321455
"BISE21_b";"Lus";"T2";1;2;"C-";12;4,11224599758358;2,55762551310388
"BISE21_c";"Lus";"T2";1;3;"C-";14;4,09771633605681;2,47006762962345
"BISE21_d";"Lus";"T2";1;4;"C-";12;4,02331411590304;2,46823753288185
"BISE22_a";"Lus";"T2";2;1;"C-";12;4,18351498642275;2,58351589587897
"BISE22_b";"Lus";"T2";2;2;"C-";12;4,17229288584251;2,57847953923599
"BISE22_c";"Lus";"T2";2;3;"C-";12;3,92697536980953;2,41526515985037
"BISE22_d";"Lus";"T2";2;4;"C-";13;4,09580892706589;2,51924716374844
"BISE23_a";"Lus";"T2";3;1;"C-";11;3,98942474653706;2,43139240506329
"BISE23_b";"Lus";"T2";3;2;"C-";13;4,10515036840239;2,43465849752837
"BISE23_c";"Lus";"T2";3;3;"C-";13;4,00913647971665;2,42953973274805
"BISE23_d";"Lus";"T2";3;4;"C-";13;3,81767017071485;2,3375073580564
"BISE24_a";"Lus";"T2";4;1;"C-";12;4,37043974362214;2,76234989573596
"BISE24_b";"Lus";"T2";4;2;"C-";12;4,2389204010113;2,66630002264566
"BISE24_c";"Lus";"T2";4;3;"C-";13;4,41670127727729;2,74323075630723
"BISE24_d";"Lus";"T2";4;4;"C-";13;4,8192481774701;3,08503183959473
"BISE25_a";"Lus";"T3";1;1;"E+";12;4,27474508598903;2,68791174822743
"BISE25_b";"Lus";"T3";1;2;"E+";12;4,29494456648681;2,66038578982647
"BISE25_c";"Lus";"T3";1;3;"E+";12;4,21079847865162;2,594121680031
"BISE25_d";"Lus";"T3";1;4;"E+";12;4,65564040231661;2,90842416446641
"BISE26_a";"Lus";"T3";2;1;"E+";12;4,4498073435885;2,75619903478116
"BISE26_b";"Lus";"T3";2;2;"E+";13;4,03047050159219;2,43071393384298
"BISE26_c";"Lus";"T3";2;3;"E+";12;4,53145900199261;2,80596968080098
"BISE26_d";"Lus";"T3";2;4;"E+";11;4,10224899172534;2,56424867513818
"BISE27_a";"Lus";"T3";3;1;"E+";11;4,09632417116103;2,57939878424515
"BISE27_b";"Lus";"T3";3;2;"E+";11;4,21822075561828;2,75140186915888
"BISE27_c";"Lus";"T3";3;3;"E+";12;4,42743917187759;2,83563605505317
"BISE27_d";"Lus";"T3";3;4;"E+";14;4,32842411247801;2,66396275982855
"BISE28_a";"Lus";"T3";4;1;"E+";13;4,88835891807259;3,0507337175953
"BISE28_b";"Lus";"T3";4;2;"E+";12;4,72296413678526;2,94103710217142
