"";"keys";"names";"trophic_group"
"1";"1000794";"Adineta vaga";16
"2";"1002070";"Trichocerca rattus";16
"3";"1002835";"Notholca acuminata";16
"4";"1013578";"Cylindroiulus caeruleocinctus";4
"5";"1020585";"Polydesmus coriaceus";4
"6";"102522790";"uncultured Acidobacterium UA3";15
"7";"102558290";"Nitrospira";15
"8";"102565918";"Nakamurella";15
"9";"102710354";"Nannocystis";15
"10";"102979699";"Nannochloris";4
"11";"103079544";"Echinamoeba exundans";16
"12";"1032756";"Gliricola";4
"13";"103498073";"Vermamoeba vermiformis";16
"14";"1037288";"Trechus";8
"15";"1037319";"Trechus obtusus";4
"16";"103997429";"Candidatus Solibacter usitatus";15
"17";"104001606";"Candidatus Solibacter";15
"18";"1042814";"Rhizophagus";4
"19";"104340218";"Pedosphaera";15
"20";"104372713";"Chthoniobacter flavus";15
"21";"1063891";"Amphimallon solstitiale";4
"22";"1162125";"Agriotes";4
"23";"1181282";"Sitona lineatus";4
"24";"1195102";"Otiorhynchus armadillo";4
"25";"119788004";"Candidatus Nitrosocosmicus";15
"26";"1198632";"Barynotus moerens";4
"27";"1198651";"Barynotus obscurus";4
"28";"120786288";"Acidiferrobacteraceae";15
"29";"126037304";"Isosphaeraceae";15
"30";"126043370";"Microthrixaceae";15
"31";"1269085";"Aphidius ervi";4
"32";"128048854";"Leptophryidae";12
"33";"1318887";"Myrmica scabrinodis";4
"34";"1419844";"Forficula";14
"35";"1419845";"Forficula auricularia";4
"36";"1489006";"Bradysia subrufescens";5
"37";"1504935";"Tipula cockerelliana";4
"38";"1505603";"Tipula abdominalis";4
"39";"1611430";"Lonchoptera lutea";5
"40";"1789695";"Noctua pronuba";4
"41";"1948";"Eustigmataceae";4
"42";"2049366";"Pemphigus";4
"43";"2049562";"Aphis";4
"44";"2069580";"Rhopalosiphum padi";4
"45";"2071998";"Rhodobium";4
"46";"2076179";"Myzus persicae";7
"47";"2076745";"Aulacorthum solani";7
"48";"2077503";"Acyrthosiphon pisum";4
"49";"2119156";"Eosentomon";5
"50";"2119498";"Campodea";4
"51";"2119537";"Campodea fragilis";4
"52";"2119703";"Tetracanthella";4
"53";"2120343";"Isotomiella minor";4
"54";"2120372";"Folsomia quadrioculata";4
"55";"2120383";"Folsomia candida";4
"56";"2120412";"Entomobrya";4
"57";"2120510";"Protaphorura armata";4
"58";"2120580";"Sminthurides aquaticus";4
"59";"2120754";"Entomobrya multifasciata";4
"60";"2120836";"Willowsia nigromaculata";4
"61";"2120880";"Lepidocyrtus";4
"62";"2120899";"Lepidocyrtus paradoxus";4
"63";"2120979";"Orchesella villosa";4
"64";"2120985C1";"Seira barnardi";4
"65";"2121254";"Ceratophysella";4
"66";"2121983C1";"Crossodonthina koreana";4
"67";"2122146";"Podura aquatica";4
"68";"2122150";"Megalothorax";4
"69";"2124312";"Chthonius";4
"70";"2128073";"Alicorhagia";12
"71";"2130185";"Tetranychus urticae";4
"72";"2131873";"Anystis";4
"73";"2155886";"Robertus neglectus";4
"74";"2164";"Cercomonadidae";6
"75";"2171";"Hartmannellidae";6
"76";"2181931";"Tyrophagus";5
"77";"2181947";"Rhizoglyphus";4
"78";"2181976";"Histiostoma feroniarum";5
"79";"2188311";"Liochthonius";4
"80";"2191143";"Protoribates hakonensis";4
"81";"2193269";"Tectocepheus";4
"82";"2193785C1";"Pilogalumna rosauraruizae";4
"83";"2230246";"Lithobius forficatus";4
"84";"2230514";"Lithobius variegatus";4
"85";"2279676";"Rhabditis";6
"86";"2279885";"Prismatolaimus";6
"87";"2280384";"Prodesmodora circulata";16
"88";"2281434";"Odontolaimus";11
"89";"2281441";"Prismatolaimus cf. dolichurus JH-2004";16
"90";"2281488";"Tripyla";13
"91";"2282578";"Anatonchus tridentatus";16
"92";"2282603";"Prodorylaimus";1
"93";"2282607";"Pungentus";1
"94";"2282616";"Discolaimus cf. major HHBM-2007a";16
"95";"2282644C1";"Mesodorylaimus cf. nigritulus AV-2005";16
"96";"2282663";"Tylencholaimus";5
"97";"2282727";"Longidorus";7
"98";"2282732";"Xiphinema";7
"99";"2282747";"Aporcelaimellus";1
"100";"2282769";"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";16
"101";"2282770";"Alaimus";6
"102";"2282796";"Funaria";16
"103";"2283045";"Teratocephalus terrestris";16
"104";"2283075";"Plectus";6
"105";"2283127";"Rhabdolaimus";6
"106";"2283334";"Bastiania";6
"107";"2283337";"Bastiania gracilis";16
"108";"2283346";"Clarkus";13
"109";"2283674";"Mesorhabditis";6
"110";"2283711";"Panagrolaimus";6
"111";"2283740";"Cephalobus persegnis";16
"112";"2283754";"Acrobeloides";6
"113";"2283761";"Acrobeles";6
"114";"2283775";"Eucephalobus striatus";16
"115";"2283953";"Ditylenchus dipsaci";16
"116";"2283969";"Heterodera";7
"117";"2283983";"Meloidogyne naasi";16
"118";"2284094";"Helicotylenchus";7
"119";"2284116C1";"Rotylenchus vitis";16
"120";"2284120";"Pratylenchus";7
"121";"2284354";"Aphelenchoides";5
"122";"2284394";"Aphelenchus";5
"123";"2284396";"Aphelenchus avenae";16
"124";"2307755";"Aporrectodea";4
"125";"2307757";"Aporrectodea longa";4
"126";"2307759";"Aporrectodea caliginosa";4
"127";"2307760";"Aporrectodea rosea";4
"128";"2307763";"Octolasion";4
"129";"2307766";"Octolasion cyaneum";4
"130";"2308261";"Enchytronia parva";16
"131";"2308266";"Enchytraeus";16
"132";"2308267";"Enchytraeus lacteus";16
"133";"2308269";"Enchytraeus albidus";16
"134";"2308272";"Enchytraeus buchholzi";16
"135";"2308278";"Marionina";16
"136";"2308289";"Marionina sublitoralis";16
"137";"2308295";"Marionina communis";16
"138";"2308359";"Fridericia ratzeli";16
"139";"2308365";"Fridericia paroniana";16
"140";"2308382";"Henlea perpusilla";16
"141";"2308383";"Achaeta";16
"142";"2389";"Convolvulaceae";9
"143";"2416";"Polygonaceae";9
"144";"2420";"Plantaginaceae";9
"145";"2422";"Papaveraceae";9
"146";"2499";"Juglandaceae";9
"147";"2512861";"Guepiniopsis buccina";2
"148";"2513009";"Orbilia";2
"149";"2513144";"Protomyces";2
"150";"2513576";"Entyloma ficariae";2
"151";"2518091";"Malassezia";2
"152";"2518102";"Malassezia globosa";2
"153";"2518117";"Itersonilia perplexans";2
"154";"2518120";"Bullera";2
"155";"2518166";"Sporobolomyces";2
"156";"2518208";"Cladosporium";7
"157";"2518442";"Dioszegia";2
"158";"2518830";"Hyphodontia rimosissima";2
"159";"2523138";"Trechispora farinacea";2
"160";"2523318";"Hygrocybe";2
"161";"2523664";"Peniophorella praetermissa";2
"162";"2524401";"Panaeolus";2
"163";"2525705";"Camarophyllus";2
"164";"2525706";"Hygrophorus";2
"165";"2526774";"Psathyrella";2
"166";"2527766";"Tricholoma";2
"167";"2531688";"Porpoloma";2
"168";"2534205";"Pholiota squarrosa";2
"169";"2538727";"Hygrophorus agathosmus";2
"170";"2538825";"Chromosera";2
"171";"2540225";"Ramariopsis kunzei";2
"172";"2540688";"Pterula echo";2
"173";"2552607";"Scytinostroma";2
"174";"2552703";"Asterostroma andinum";2
"175";"2553";"Anguinidae";16
"176";"2554333";"Geastrum saccatum";2
"177";"2555201";"Rhizoctonia solani";2
"178";"2555295";"Multiclavula mucida";2
"179";"2555644";"Limonomyces roseipellis";2
"180";"2555962";"Cystobasidium";8
"181";"2557854";"Proceropycnis pinicola";2
"182";"2558164";"Basidiobolus";2
"183";"2558209";"Gongronella";2
"184";"2558212";"Gongronella butleri";2
"185";"2558227";"Halteromyces radiatus";2
"186";"2558228";"Mortierella";2
"187";"2559052";"Piptocephalis graefenhanii";2
"188";"2559068";"Kuzuhaea moniliformis";2
"189";"2559079";"Syncephalis depressa";2
"190";"2559082";"Syncephalis fuscata";2
"191";"2559238";"Cochlonema euryblastum";2
"192";"2559270";"Endogone";2
"193";"2559290";"Dissophora decumbens";2
"194";"2559441";"Endogone lactiflua";2
"195";"2559545";"Glomus";2
"196";"2559630";"Conidiobolus lamprauges";2
"197";"2559645";"Conidiobolus firmipilleus";2
"198";"2559647";"Conidiobolus coronatus";2
"199";"2560";"Cephalobidae";16
