LECA_id;Site;Parcelle;Echantillon;Repet;Couples;Trt;nb_edge;nb_node;density;brown_sources;light_sources;bact_sources;fung_sources;brown_green_ratio;brownsum;greensum;bacteria_fungi_ratio;bactsum;fungsum;observation_id
BISE01_a;Mons;T1;1;1;A+;+;2285;395;0,014682259;256;33;224;23;23,94314381;7159;299;26,60869565;6732;253;BISE01_a
BISE01_b;Mons;T1;1;2;A+;+;4003;417;0,02307577;261;41;231;19;15,96644295;7137;447;23,61052632;6729;285;BISE01_b
BISE01_c;Mons;T1;1;3;A+;+;2943;381;0,020327393;251;29;219;21;21,01619433;5191;247;19,19047619;4836;252;BISE01_c
BISE01_d;Mons;T1;1;4;A+;+;2580;386;0,017360877;251;32;222;18;19,39705882;3957;204;35,13888889;3795;108;BISE01_d
BISE02_a;Mons;T1;2;1;A+;+;2424;380;0,016830996;244;33;214;19;16,05701754;3661;228;20,09356725;3436;171;BISE02_a
BISE02_b;Mons;T1;2;2;A+;+;3784;404;0,02324153;250;35;218;24;18,9833887;5714;301;25,30555556;5466;216;BISE02_b
BISE02_c;Mons;T1;2;3;A+;+;2373;388;0,015803564;250;36;221;20;18,57435897;3622;195;59,18333333;3551;60;BISE02_c
BISE02_d;Mons;T1;2;4;A+;+;2427;388;0,01616319;246;33;217;21;32,00641026;4993;156;22,76190476;4780;210;BISE02_d
BISE03_a;Mons;T1;3;1;A+;+;2396;380;0,016636578;247;36;216;20;21,92604502;6819;311;20,3;6496;320;BISE03_a
BISE03_b;Mons;T1;3;2;A+;+;1652;333;0,014942653;216;32;191;16;14,75565611;3261;221;17,39772727;3062;176;BISE03_b
BISE03_c;Mons;T1;3;3;A+;+;2273;334;0,020436604;213;32;189;14;12,31985294;3351;272;25,57936508;3223;126;BISE03_c
BISE03_d;Mons;T1;3;4;A+;+;2897;371;0,021104393;243;35;218;15;17,92546584;5772;322;28,02564103;5465;195;BISE03_d
BISE04_a;Mons;T1;4;1;A+;+;2279;334;0,02049055;225;21;203;15;30,9223301;3185;103;33,96666667;3057;90;BISE04_a
BISE04_b;Mons;T1;4;2;A+;+;3651;402;0,022648602;253;29;227;18;33,42613636;5883;176;39,55555556;5696;144;BISE04_b
BISE04_c;Mons;T1;4;3;A+;+;3360;357;0,026437541;226;31;203;15;24,59633028;5362;218;28,27777778;5090;180;BISE04_c
BISE04_d;Mons;T1;4;4;A+;+;2185;351;0,017785918;223;28;201;15;27,45528455;3377;123;30,8;3234;105;BISE04_d
BISE05_a;Mons;T2;1;1;B+;+;1710;328;0,015943164;249;12;218;21;48,26785714;2703;56;31,17857143;2619;84;BISE05_a
BISE05_b;Mons;T2;1;2;B+;+;3432;382;0,023580822;251;23;217;24;23,91875;3827;160;38,55208333;3701;96;BISE05_b
BISE05_c;Mons;T2;1;3;B+;+;3281;389;0,021738266;249;28;212;26;32,16853933;5726;178;35,48717949;5536;156;BISE05_c
BISE05_d;Mons;T2;1;4;B+;+;2112;362;0,016161369;253;16;224;18;31,81578947;4836;152;37,38095238;4710;126;BISE05_d
BISE06_a;Mons;T2;2;1;B+;+;2993;403;0,018474624;267;29;229;28;31,55921053;4797;152;23,44387755;4595;196;BISE06_a
BISE06_b;Mons;T2;2;2;B+;+;3296;446;0,016607044;288;34;244;36;24,8;6200;250;18,12345679;5872;324;BISE06_b
BISE06_c;Mons;T2;2;3;B+;+;3756;424;0,020942058;275;32;231;32;21,35010941;9757;457;21,73317308;9041;416;BISE06_c
BISE06_d;Mons;T2;2;4;B+;+;2917;401;0,018185786;261;27;220;29;38,88405797;8049;207;24,15360502;7705;319;BISE06_d
BISE07_a;Mons;T2;3;1;B+;+;3935;415;0,022903207;267;35;223;33;17,89821883;7034;393;15,11188811;6483;429;BISE07_a
BISE07_b;Mons;T2;3;2;B+;+;3252;352;0,026320901;220;25;186;23;17,61967213;5374;305;19,88932806;5032;253;BISE07_b
BISE07_c;Mons;T2;3;3;B+;+;2915;385;0,019717262;247;32;202;32;18,2283737;5268;289;15,215625;4869;320;BISE07_c
BISE07_d;Mons;T2;3;4;B+;+;4400;435;0,023306319;279;40;239;29;17,63970588;7197;408;17,79045093;6707;377;BISE07_d
BISE08_a;Mons;T2;4;1;B+;+;3173;418;0,018203619;276;25;237;26;35,47252747;6456;182;29,71153846;6180;208;BISE08_a
BISE08_b;Mons;T2;4;2;B+;+;3720;391;0,024395042;257;24;221;24;26,55454545;5842;220;23,1875;5565;240;BISE08_b
BISE08_c;Mons;T2;4;3;B+;+;3655;391;0,023968785;255;24;217;27;24,37130802;5776;237;22,42386831;5449;243;BISE08_c
BISE08_d;Mons;T2;4;4;B+;+;4266;422;0,024011888;275;25;238;25;20,13031915;7569;376;26,05090909;7164;275;BISE08_d
BISE09_a;Mons;T3;1;1;B-;-;3024;358;0,023660861;236;29;202;24;25;5700;228;21,95833333;5270;240;BISE09_a
BISE09_b;Mons;T3;1;2;B-;-;2843;343;0,024235759;223;23;190;26;22,1504065;5449;246;22,04273504;5158;234;BISE09_b
BISE09_c;Mons;T3;1;3;B-;-;2689;326;0,025379896;204;29;170;26;17,11428571;4193;245;16,77777778;3926;234;BISE09_c
BISE09_d;Mons;T3;1;4;B-;-;3002;347;0,025003748;228;27;194;26;18,58371041;4107;221;21,43406593;3901;182;BISE09_d
BISE10_a;Mons;T3;2;1;B-;-;3257;377;0,022976748;251;31;215;27;18,78969957;4378;233;16,88477366;4103;243;BISE10_a
BISE10_b;Mons;T3;2;2;B-;-;2988;398;0,018910674;257;33;219;29;27,13761468;5916;218;15,78448276;5493;348;BISE10_b
BISE10_c;Mons;T3;2;3;B-;-;3513;384;0,02388626;250;27;218;25;26,06074766;5577;214;19,07636364;5246;275;BISE10_c
BISE10_d;Mons;T3;2;4;B-;-;3061;384;0,020812935;257;32;223;24;31,72;7930;250;23,66346154;7383;312;BISE10_d
BISE11_a;Mons;T3;3;1;B-;-;3435;391;0,022526067;251;32;217;28;34,19018405;5573;163;16,95779221;5223;308;BISE11_a
BISE11_b;Mons;T3;3;2;B-;-;3648;391;0,02392288;252;39;217;31;16,62;5817;350;15,96187683;5443;341;BISE11_b
BISE11_c;Mons;T3;3;3;B-;-;3167;387;0,02120068;255;33;226;25;21,97368421;5010;228;21,16444444;4762;225;BISE11_c
BISE11_d;Mons;T3;3;4;B-;-;3639;386;0,024486912;246;30;223;21;24,30672269;5785;238;33,35119048;5603;168;BISE11_d
BISE12_a;Mons;T3;4;1;B-;-;2376;392;0,015501853;261;33;224;27;30,59090909;6057;198;27,00462963;5833;216;BISE12_a
BISE12_b;Mons;T3;4;2;B-;-;2718;411;0,016129607;278;31;233;32;25,31818182;5570;220;27,97395833;5371;192;BISE12_b
BISE12_c;Mons;T3;4;3;B-;-;3746;418;0,021490941;271;39;227;33;21,892;5473;250;26,45959596;5239;198;BISE12_c
BISE12_d;Mons;T3;4;4;B-;-;2683;381;0,018531565;259;28;223;27;19,46212121;5138;264;26,02116402;4918;189;BISE12_d
BISE13_a;Mons;T4;1;1;A-;-;3103;388;0,020665175;251;35;223;18;23,13852814;5345;231;28,62777778;5153;180;BISE13_a
