Filter;ScientificName;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30
1;0319-6G20;23;20;23;33;30;24;11;13;20;86;67;94;19;24;38;35;26;30;12;16;15;29;17;33;25;36;20;31;16;24
1;67-14;15;13;17;20;28;17;29;15;30;21;17;21;37;31;29;11;21;9;27;22;27;16;14;18;17;15;23;22;16;13
1;Acetobacteraceae;71;77;73;108;126;127;132;126;135;95;103;67;129;103;108;72;76;76;74;109;99;69;75;53;59;87;85;71;58;95
1;Acidimicrobiaceae;0;0;0;1;2;2;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;1;0;1;0;0;2
1;Acidobacteriaceae;387;355;321;368;381;416;427;580;488;410;321;346;446;392;349;316;356;331;407;411;446;333;371;398;484;396;423;366;348;358
1;Acidothermaceae;72;85;99;139;123;123;132;136;127;87;110;91;120;125;112;97;81;81;120;103;91;87;83;95;112;110;109;104;101;86
1;Actinospicaceae;3;5;4;2;4;2;3;4;2;4;3;5;2;8;10;3;3;10;5;3;7;1;4;6;10;9;2;0;2;6
1;Agaricomycetes;106;387;99;1455;789;776;376;424;321;266;213;158;231;229;73;196;112;93;407;142;87;108;376;240;40;161;75;92;111;112
1;Alicyclobacillaceae;12;21;7;7;0;5;21;27;31;10;5;12;27;24;30;9;10;14;20;19;24;3;4;7;19;11;17;6;3;11
1;Aphelenchoididae;0.097;0.219;0.241;0.003;0.004;0.004;0;0.01;0.001;0.024;0.09;0.077;0.02;0.023;0.043;0.076;0.084;0.073;0.22;0.134;0.218;0.049;0.019;0.093;0.015;0.013;0.049;0.033;0.1;0.112
1;Aquaspirillaceae;5;3;3;0;4;0;1;2;0;60;50;55;2;1;0;15;1;1;12;1;3;36;28;53;0;1;0;2;2;3
1;Archaeorhizomycetes;0;0;0;6;7;1;4;6;1;1;3;1;0;0;0;0;0;0;0;1;0;2;0;0;3;13;2;1;1;0
1;Archangiaceae;13;6;14;31;31;39;22;20;18;29;21;21;15;18;11;9;4;7;18;17;9;9;11;5;5;11;6;10;14;8
1;Babeliaceae;2;1;1;3;1;3;7;3;2;2;3;2;2;7;4;1;3;4;1;3;0;1;1;4;4;5;2;0;4;3
1;Bacillaceae;56;54;48;51;62;70;66;99;70;27;59;35;70;84;60;51;55;57;44;55;51;46;46;51;47;55;61;58;39;50
1;Beijerinckiaceae;68;65;56;97;86;73;97;66;75;62;63;74;72;87;51;50;54;45;63;55;53;45;41;45;53;54;55;54;55;60
1;Burkholderiaceae;508;587;491;44;42;42;55;62;73;470;436;505;55;325;373;599;504;557;579;507;494;607;609;568;441;547;442;494;546;553
1;Catenulisporaceae;18;8;8;0;8;3;9;4;4;5;3;7;13;9;9;14;17;13;11;7;14;9;7;8;26;7;15;10;14;19
1;Caulobacteraceae;296;320;459;5;10;9;15;12;4;36;25;22;26;53;69;341;374;252;170;136;91;387;315;304;284;207;253;420;404;291
1;Cephalobidae;0.867;1.297;0.896;0.07;0.078;0.109;0.24;0.314;0.268;0.43;0.583;0.698;0.276;0.167;0.142;1.305;1.511;1.211;0.219;0.162;0.342;0.819;0.822;1.054;0.33;0.347;0.564;0.107;0.199;0.178
1;Cercomonadidae;566;314;403;944;800;686;471;755;640;502;540;596;453;197;209;398;461;465;325;290;305;337;365;348;289;296;299;409;487;426
1;Cercozoa_MA;187;137;163;364;354;308;143;326;271;472;423;533;222;131;123;162;169;163;127;70;130;181;172;242;136;120;178;138;164;185
1;Cercozoa_UC;46;43;45;0;5;0;5;5;4;100;33;50;4;11;6;71;59;49;29;19;33;68;56;38;27;29;30;41;59;57
1;Chitinophagaceae;201;179;147;80;51;80;224;217;230;224;187;177;202;106;233;186;115;199;133;155;202;121;198;168;163;170;172;163;140;160
1;Chthoniobacteraceae;0;4;0;2;3;2;4;4;1;4;2;1;4;0;1;2;1;0;2;2;1;1;3;1;0;5;2;0;0;0
1;Chthonomonadaceae;5;17;7;15;13;6;15;18;14;18;17;24;10;10;13;11;8;7;12;6;11;8;11;9;6;4;6;8;6;7
1;Chytridiomycetes;204;205;1263;99;80;287;45;54;92;360;542;418;556;150;223;33;24;43;33;1558;40;65;119;2356;282;6;63;240;280;776
1;Cyclobacteriaceae;1210;1279;1631;2;0;0;10;11;16;456;654;559;18;11;5;1683;2004;1596;708;720;414;1587;1399;1192;1378;719;1160;1504;1786;1148
1;Cytophagaceae;26;42;16;0;0;0;0;0;0;67;39;17;2;0;0;149;68;44;8;5;1;266;293;240;34;3;92;117;45;264
1;Devosiaceae;1;5;3;0;0;0;1;0;0;0;0;0;0;1;2;1;3;1;1;1;1;2;3;9;0;1;0;5;3;7
1;Diplorickettsiaceae;18;23;24;0;2;0;12;22;19;13;27;24;28;31;30;26;12;23;18;24;20;9;5;20;39;22;35;30;16;22
1;Dothideomycetes;159;86;76;442;641;734;198;406;242;193;247;196;356;232;220;118;193;190;155;139;259;143;166;159;176;106;113;105;146;121
1;Entotheonellaceae;0;0;0;1;2;1;0;1;3;5;2;0;0;0;1;0;0;1;1;1;0;0;0;0;1;2;1;0;1;1
1;Eukaryota;18;28;21;5;1;16;7;11;12;11;20;17;3;9;22;20;8;9;28;19;13;5;8;12;35;30;27;15;28;29
1;Eurotiomycetes;373;614;302;992;1685;1599;525;591;721;848;688;664;696;906;448;339;513;669;643;483;528;491;589;293;438;534;704;376;684;483
1;Family XVIII;2;2;2;4;1;4;3;3;1;2;1;2;2;3;1;1;3;0;2;1;1;1;4;3;3;2;1;1;3;2
1;Geminibasidiomycetes;1;0;3;5;21;15;13;9;1;2;0;4;9;2;1;3;4;0;0;2;1;2;1;4;5;0;1;0;7;0
1;Gemmataceae;876;908;809;1476;1440;1404;1331;1297;1205;1058;1074;1069;1195;1191;1109;771;720;836;921;1022;959;859;859;831;781;986;876;820;850;897
1;Gemmatimonadaceae;19;28;30;55;42;43;25;35;25;35;18;25;36;42;39;19;27;20;30;21;30;45;34;25;34;37;32;37;20;21
1;Geodermatophilaceae;6;4;4;2;3;4;6;3;2;4;7;8;6;1;7;1;1;5;4;6;2;3;4;1;5;1;5;3;1;9
1;Gimesiaceae;2;0;0;0;2;0;1;0;1;3;1;0;1;0;1;0;0;1;0;1;1;0;0;1;2;4;1;0;1;0
1;Glissomonadida;6680;7117;6900;1653;1872;1816;572;981;827;5204;4881;4763;5570;5973;5771;8095;7226;7160;6316;6386;6781;8207;7612;5914;6609;6907;6217;6714;7167;6626
1;Glomeromycetes;19;20;17;221;179;96;62;130;67;104;22;38;49;11;41;28;20;16;28;64;41;21;18;11;30;17;57;24;24;30
1;Haliangiaceae;2;3;0;13;18;31;5;3;6;4;4;10;11;2;4;1;0;3;2;4;7;6;5;5;4;5;3;0;4;2
1;Heliobacteriaceae;2;0;0;0;3;0;1;3;0;1;0;1;1;2;0;3;3;0;1;1;1;1;1;0;0;0;0;3;0;3
1;Hyphomicrobiaceae;28;19;34;39;45;47;52;35;35;38;29;36;36;32;33;22;27;19;34;38;22;34;32;24;39;29;30;19;23;18
1;Inquilinaceae;0;1;1;1;0;2;3;1;0;2;2;3;0;2;4;2;2;1;2;0;4;0;2;1;2;0;1;1;0;0
1;Intrasporangiaceae;29;18;33;1;0;0;5;6;8;22;13;17;5;16;10;35;26;20;23;40;40;18;14;32;34;32;24;27;19;44
1;Isosphaeraceae;68;52;43;45;45;54;66;79;50;49;58;64;72;83;75;50;49;62;54;50;47;45;56;43;65;39;46;78;36;64
1;JG30-KF-AS9;50;43;45;67;72;69;55;87;50;56;53;66;65;61;57;45;53;47;47;54;57;32;44;38;41;46;38;63;48;41
1;JG30-KF-CM45;7;9;8;20;11;6;13;12;9;4;14;13;11;11;11;2;4;6;9;17;10;8;9;6;6;3;9;11;5;12
1;Koribacteraceae;3;1;5;9;6;8;5;6;2;8;5;3;0;2;2;2;1;4;1;3;3;2;3;3;4;6;2;2;0;2
1;Ktedonobacteraceae;1131;1014;982;1295;1334;1352;1326;1399;1601;1060;1018;989;1331;1225;1457;909;1190;978;1046;1114;1413;849;932;1130;1287;1207;1043;988;862;1010
1;Lecanoromycetes;0;0;3;139;9;94;7;7;5;10;1;2;65;12;6;1;4;0;1;3;1;4;7;53;6;11;8;9;3;1
1;Legionellaceae;47;42;33;0;4;0;66;51;16;52;45;63;13;50;41;51;22;102;28;73;25;5;5;9;87;114;78;44;48;38
1;Leotiomycetes;137;108;81;717;913;1189;277;980;284;320;266;257;286;269;376;96;196;221;232;110;148;123;129;131;209;141;105;179;135;119
1;Magnetospirillaceae;3;6;12;0;0;1;0;0;0;8;10;6;0;2;2;3;6;4;0;0;1;3;3;3;13;12;20;9;3;10
1;Microbacteriaceae;14;13;12;0;2;0;0;2;0;6;1;1;0;21;19;11;10;12;14;11;10;3;2;8;18;18;10;15;8;8
1;Microbotryomycetes;2;2;0;2;6;2;0;7;5;6;7;1;0;0;0;3;2;1;1;3;4;4;3;1;3;2;5;2;3;1
1;Micrococcaceae;167;162;209;8;3;1;11;12;11;243;248;249;6;61;67;225;193;188;186;208;162;227;201;303;139;156;141;183;243;232
1;Micromonosporaceae;7;3;3;4;2;6;4;10;7;7;6;4;8;12;15;7;5;5;8;6;8;7;4;6;9;6;6;7;3;4
1;Micropepsaceae;59;61;40;6;9;19;28;10;27;69;65;58;39;120;151;51;59;67;54;37;77;72;63;69;43;88;64;54;65;45
1;Microscillaceae;4;4;3;0;0;0;1;0;0;2;2;1;0;0;0;2;5;5;4;1;2;5;5;7;4;0;4;7;1;1
1;Mitochondria;7;1;3;0;0;0;0;1;0;1;1;1;0;4;0;0;1;0;4;0;3;4;6;16;4;3;3;6;1;2
1;Moraxellaceae;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;1;1;2;1;1;0;0;0;3;0;0;2;0;0
1;Mucoromycota;684;475;674;601;701;1283;185;321;414;359;331;318;562;208;241;699;702;459;823;570;570;703;796;371;925;757;794;497;598;548
1;Mycobacteriaceae;29;36;25;54;54;59;46;57;63;44;40;35;55;52;51;46;30;47;54;46;50;44;48;34;37;33;47;34;37;46
1;Neisseriaceae;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;2;0;12;0;0;4;0
1;Nitrosomonadaceae;5;1;4;2;2;6;5;5;7;6;7;8;0;1;4;2;4;4;3;2;4;3;3;5;8;4;2;1;4;1
1;Nitrososphaeraceae;71;42;47;44;57;49;68;97;131;58;32;40;73;57;56;50;33;46;49;55;50;35;42;39;36;54;42;38;45;52
1;Nitrosotaleaceae;3;1;1;8;3;8;6;4;6;3;6;3;4;3;5;0;4;4;2;4;3;8;2;3;5;5;4;2;2;9
1;Nitrospiraceae;2;1;6;8;8;8;7;4;3;4;4;3;6;3;2;3;3;7;6;7;2;2;3;5;2;2;4;1;7;3
1;Nocardioidaceae;3;1;1;1;0;1;0;2;0;3;4;1;0;5;6;3;3;1;5;0;2;2;4;2;4;3;1;2;2;1
1;Nostocaceae;2;1;4;1;1;3;1;2;2;1;1;1;6;9;7;2;0;9;2;1;11;2;1;1;5;2;2;1;0;4
1;Nucleariidae;10;16;11;0;0;0;25;40;49;0;3;8;1;1;1;10;8;12;8;10;19;2;2;6;6;4;3;4;13;14
1;Oligoflexaceae;7;4;8;0;0;0;14;17;8;1;0;0;6;11;8;10;4;3;7;8;8;5;5;9;9;10;9;8;6;4
1;Opitutaceae;0;0;0;1;2;1;0;0;0;15;19;19;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
1;OPS17;5;7;7;27;7;17;5;2;5;104;85;77;3;1;1;11;12;17;3;2;42;17;35;37;1;1;2;7;11;17
1;Orbiliomycetes;2;19;0;0;0;0;0;0;0;68;79;31;0;0;0;7;160;80;0;1;22;40;41;286;33;0;2;1294;12;52
1;P3OB-42;17;16;8;39;31;25;19;32;14;17;13;18;23;13;16;17;12;12;21;19;22;10;12;17;11;8;12;13;17;11
1;Paenibacillaceae;73;51;38;57;62;50;102;111;95;42;56;33;86;76;78;61;67;85;68;64;62;39;45;54;61;73;61;51;41;42
1;Paracaedibacteraceae;5;16;13;0;0;0;4;8;11;6;2;3;19;17;14;10;24;8;13;6;5;14;27;10;22;6;12;11;14;13
1;Pezizomycetes;0;0;0;3;6;0;0;6;5;0;0;1;0;0;0;1;4;0;0;1;2;0;1;1;1;0;1;1;1;2
1;Pirellulaceae;2;0;0;0;0;0;2;3;4;2;1;2;1;2;1;1;2;2;0;3;0;2;1;2;1;1;2;1;0;2
1;Planococcaceae;5;5;1;6;6;11;9;9;7;4;7;3;3;6;5;3;5;11;4;6;7;4;3;5;1;5;8;4;4;1
1;Polyangiaceae;5;3;2;13;16;15;8;4;7;7;15;10;6;1;8;0;4;4;3;4;3;3;3;4;7;4;4;3;1;1
1;Pseudonocardiaceae;41;32;40;47;55;48;52;52;65;50;62;44;69;46;56;20;38;37;53;42;40;31;33;35;29;47;45;41;26;29
1;Pyrinomonadaceae;5;9;6;13;13;16;13;21;14;8;20;12;10;12;5;5;7;11;7;6;9;6;7;10;10;14;3;6;10;7
1;Qusdinematidae;0;0.813;0;0;0;0;0;0;0.036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Reyranellaceae;20;22;20;24;12;20;16;11;12;24;20;26;21;43;50;18;20;22;26;16;12;24;17;11;9;20;22;13;12;21
1;Rhizobiaceae;4;1;11;11;5;4;8;6;8;11;7;2;13;7;3;4;4;8;6;12;10;4;5;2;8;8;7;4;8;7
1;Rhizobiales Incertae Sedis;7;7;2;11;8;13;9;5;8;8;9;7;8;6;3;5;5;10;9;7;8;6;4;11;2;6;7;6;5;7
1;Rhodanobacteraceae;87;93;98;6;7;12;43;25;32;21;35;30;27;113;146;100;86;96;130;145;204;58;72;78;148;218;157;86;141;133
1;Rhodomicrobiaceae;11;13;9;14;18;26;15;15;15;15;8;10;19;11;17;7;4;10;5;11;13;6;9;9;12;10;9;13;7;13
1;Rhodospirillaceae;0;1;0;2;0;3;0;0;1;0;0;1;0;0;0;0;0;2;2;1;0;2;1;1;0;0;1;0;1;0
1;Rickettsiaceae;2;2;2;0;0;0;0;0;0;1;1;3;0;0;1;1;2;1;8;2;2;0;1;2;8;4;6;2;1;5
1;Saccharomycetes;12;2;2;82;268;16;5;11;11;4;3;6;3;6;3;2;4;0;7;4;1;3;2;6;3;0;3;2;8;2
1;Schlesneriaceae;0;0;0;0;0;0;0;0;0;22;9;24;0;0;0;1;0;1;0;0;0;1;2;2;1;0;0;0;2;1
1;SC-I-84;3;2;0;7;6;10;2;6;6;11;7;14;7;2;4;3;3;2;4;4;0;4;6;2;3;3;5;4;1;2
1;Solibacteraceae;118;125;104;138;139;154;149;199;212;120;119;115;185;134;156;126;99;116;118;156;136;91;92;115;156;169;152;119;121;150
1;Solirubrobacteraceae;383;343;355;503;615;492;460;482;533;459;450;435;530;647;534;357;306;405;497;518;502;357;368;345;410;426;430;395;396;349
1;Sordariomycetes;347;332;252;1242;1358;893;570;527;565;767;509;506;591;516;1625;277;621;408;716;311;523;353;375;239;401;1166;453;295;541;525
1;Sphingobacteriaceae;87;120;95;14;10;6;13;16;19;48;29;24;19;23;29;93;88;96;49;46;47;62;67;107;69;51;66;90;91;104
1;Sphingomonadaceae;12;7;10;4;3;2;16;17;12;9;5;11;6;15;12;10;13;12;7;10;12;9;9;7;13;9;10;4;9;15
1;Spirosomaceae;0;0;1;0;0;0;0;0;0;5;10;16;0;0;0;2;1;1;0;0;0;12;19;13;0;0;0;0;1;1
1;Streptomycetaceae;37;30;36;34;41;32;32;30;40;33;19;26;21;44;66;25;43;33;43;39;41;16;30;30;60;49;64;23;32;50
1;Thecofilosea;1733;1379;980;2249;1491;1352;7767;5625;6721;1624;2457;2699;1619;2402;1912;673;794;1257;1418;1093;1782;384;455;576;1633;985;2150;853;753;1169
1;Thermoactinomycetaceae;2;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;3;0;0;0;0;3;1;1
1;Thermoanaerobaculaceae;0;0;0;0;2;2;0;1;2;0;0;0;0;0;1;0;0;1;2;0;1;0;0;2;0;0;3;0;1;1
1;Thermomonosporaceae;9;6;11;15;4;22;17;3;9;8;7;8;9;11;12;10;8;7;10;11;9;6;8;7;12;10;16;9;3;10
1;Tremellomycetes;12;15;15;26;20;22;9;25;9;61;26;31;7;27;9;24;29;27;14;28;29;55;16;31;19;25;26;17;18;24
1;Ustilaginomycetes;2;0;0;1;0;0;0;0;0;0;4;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;63;1
1;Vermiphilaceae;0;0;22;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Wallemiomycetes;0;0;0;2;0;11;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1
1;WD2101 soil group;10;4;4;3;8;11;11;9;16;9;11;7;9;5;3;5;3;6;6;4;11;12;11;7;14;6;7;4;6;12
1;Xanthobacteraceae;609;678;679;1010;1032;1086;1065;828;805;679;749;799;1046;917;870;515;487;573;763;700;779;615;596;473;458;593;586;612;498;618
1;Xiphinematobacteraceae;18;23;12;22;33;20;21;22;22;12;17;28;24;22;17;18;15;23;22;22;20;11;21;16;23;26;9;21;25;13
1;Zoopagomycota UC;0;2;0;3;12;1;1;6;0;0;2;1;0;0;0;45;0;0;1;0;0;2;1;0;2;0;1;1;0;0
0;Multi-affiliation;7;5;5;25;22;22;18;17;14;12;7;8;16;12;8;9;9;7;20;19;13;8;10;4;8;14;8;13;11;14
0;Multi-affiliation;1;9;9;10;13;13;12;11;13;8;8;7;15;15;15;5;7;4;12;11;9;5;7;4;5;11;14;13;8;7
0;Multi-affiliation;20;4;8;3;6;6;8;4;4;6;5;8;3;12;15;7;8;7;6;16;7;4;2;4;9;9;9;12;8;9
0;Multi-affiliation;8;3;5;11;4;7;6;29;4;5;5;8;4;7;3;8;5;4;4;5;8;3;3;8;11;3;6;18;7;5
0;Multi-affiliation;3;3;4;5;5;3;4;1;5;0;1;1;4;5;4;0;3;3;5;2;5;2;6;6;1;8;5;2;0;0
0;Multi-affiliation;3;5;1;1;3;3;2;3;4;3;5;1;3;4;5;2;3;4;1;2;2;3;2;2;2;0;4;1;3;6
0;unknown;15;13;8;63;85;66;40;48;49;31;20;22;35;23;9;14;10;4;10;12;4;17;12;6;9;6;6;7;17;17
0;unknown family;10;11;7;7;13;13;6;12;13;7;12;7;15;14;7;8;6;3;13;7;9;9;5;9;3;10;10;11;7;3
0;unknown family;6;5;0;27;27;30;4;7;10;7;15;3;8;4;2;5;5;6;14;3;8;5;3;2;3;7;6;2;4;3
0;unknown family;0;0;19;0;0;0;0;0;0;0;0;0;0;0;6;0;11;7;8;0;0;5;9;29;0;0;10;30;38;0
0;unknown family;2;4;7;4;4;11;8;7;10;9;9;4;7;3;8;4;3;2;10;4;4;8;2;6;6;5;5;2;2;3
0;unknown family;4;4;5;3;11;6;5;5;9;7;6;6;7;3;7;5;6;3;5;5;1;4;1;2;9;5;4;5;9;6
0;unknown family;3;3;3;4;3;3;1;3;2;4;5;7;13;2;12;5;10;2;7;2;2;5;4;10;8;3;6;7;5;13
0;unknown family;2;3;2;15;3;0;1;2;35;2;3;11;1;7;1;4;5;2;1;3;4;1;1;2;10;1;5;4;8;1
0;unknown family;1;6;4;0;0;0;0;0;0;23;15;28;0;0;0;3;0;4;1;5;1;5;3;3;0;0;0;5;0;7
0;unknown family;2;3;3;4;3;5;5;2;3;4;0;9;8;3;3;1;1;2;4;7;2;4;4;3;1;2;2;1;2;6
0;unknown family;11;3;3;0;0;0;1;1;2;4;2;4;6;0;2;3;3;10;2;1;10;1;0;0;5;4;3;6;2;6
0;unknown family;2;4;2;3;6;6;2;3;4;3;2;4;3;1;3;0;0;5;6;1;2;1;2;2;3;3;3;4;3;3
0;unknown family;1;1;1;4;3;6;4;7;5;5;2;2;4;2;2;6;2;2;5;0;1;1;1;1;1;2;5;0;4;0
0;unknown family;1;2;2;3;5;0;0;4;7;3;9;2;3;1;4;2;0;3;3;3;0;4;1;1;0;3;4;2;4;4
0;unknown family;3;3;4;6;2;5;3;2;0;5;3;1;1;2;3;2;3;1;1;5;6;3;2;0;3;3;4;0;1;2
0;unknown family;1;1;1;4;3;3;2;3;1;2;5;7;3;6;1;1;2;5;4;2;0;2;3;5;4;1;3;0;1;1
