verbatimScientificName;scientificName;key;matchType;confidence;status;rank;kingdom;phylum;class;order;family
Acetobacteraceae;Acetobacteraceae;4728;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
Acidimicrobiaceae;Acidimicrobiaceae;3848;EXACT;96;ACCEPTED;FAMILY;Bacteria;Actinobacteria;Actinobacteria;Acidimicrobiales;Acidimicrobiaceae
Acidobacteriaceae;Acidobacteriaceae;3811;EXACT;96;ACCEPTED;FAMILY;Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae
Acidothermaceae;Acidothermaceae;8071;EXACT;96;ACCEPTED;FAMILY;Bacteria;Actinobacteria;Acidobacteriia;Actinomycetales;Acidothermaceae
Actinospicaceae;Actinospicaceae;4902454;EXACT;96;ACCEPTED;FAMILY;Bacteria;Actinobacteria;Acidobacteriia;Actinomycetales;Actinospicaceae
Agaricomycetes;Agaricomycetes;186;EXACT;96;ACCEPTED;CLASS;Fungi;Basidiomycota;Agaricomycetes;;
Alicyclobacillaceae;Alicyclobacillaceae;4704;EXACT;96;ACCEPTED;FAMILY;Bacteria;Firmicutes;Bacilli;Bacillales;Alicyclobacillaceae
Aphelenchoididae;Aphelenchoididae;2566;EXACT;94;ACCEPTED;FAMILY;Animalia;Nematoda;Secernentea;Aphelenchida;Aphelenchoididae
Archaeorhizomycetes;Archaeorhizomycetes;7701815;EXACT;96;ACCEPTED;CLASS;Fungi;Ascomycota;Archaeorhizomycetes;;
Archangiaceae;Archangiaceae;4306455;EXACT;95;SYNONYM;FAMILY;Bacteria;;;;
Bacillaceae;Bacillaceae;8113;EXACT;96;ACCEPTED;FAMILY;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae
Beijerinckiaceae;Beijerinckiaceae;7813;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae
Burkholderiaceae;Burkholderiaceae;5438;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae
Catenulisporaceae;Catenulisporaceae;3830;EXACT;96;ACCEPTED;FAMILY;Bacteria;Actinobacteria;;Actinomycetales;Catenulisporaceae
Caulobacteraceae;Caulobacteraceae;4723;EXACT;96;ACCEPTED;FAMILY;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae
Cephalobidae;Cephalobidae;2560;EXACT;94;ACCEPTED;FAMILY;Animalia;Nematoda;Secernentea;Rhabditida;Cephalobidae
Cercomonadidae;Cercomonadidae;2164;EXACT;94;ACCEPTED;FAMILY;Protozoa;Sarcomastigophora;Phytomastigophora;Ebriida;Cercomonadidae
Cercozoa_MA;Cercozoa;38_01;EXACT;95;ACCEPTED;PHYLUM;Chromista;Cercozoa;;;
Cercozoa_UC;Cercozoa;38_02;EXACT;95;ACCEPTED;PHYLUM;Chromista;Cercozoa;;;
Chitinophagaceae;Chitinophagaceae;4903787;EXACT;96;ACCEPTED;FAMILY;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae
Chthoniobacteraceae;Chthoniobacteraceae;9890342;EXACT;96;ACCEPTED;FAMILY;Bacteria;Verrucomicrobia;;;Chthoniobacteraceae
Chthonomonadaceae;Chthonomonadaceae;7481228;EXACT;96;ACCEPTED;FAMILY;Bacteria;Armatimonadetes;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae
Chytridiomycetes;Chytridiomycetes;318;EXACT;96;ACCEPTED;CLASS;Fungi;Chytridiomycota;Chytridiomycetes;;
