scientificName;trophicGroup
0319-6G20;bact_sapro
67-14;bact_sapro
Acetobacteraceae;bact_sapro
Acidimicrobiaceae;bact_sapro
Acidobacteriaceae;bact_sapro
Acidothermaceae;bact_sapro
Actinospicaceae;bact_sapro
Agaricomycetes;fungi_sapro
Alicyclobacillaceae;bact_sapro
Aphelenchoididae;fungivore
Aquaspirillaceae;bact_sapro
Archaeorhizomycetes;fungi_sapro
Archangiaceae;bact_sapro
Babeliaceae;bact_sapro
Bacillaceae;bact_sapro
Beijerinckiaceae;bact_sapro
Burkholderiaceae;bact_sapro
Catenulisporaceae;bact_sapro
Caulobacteraceae;bact_sapro
Cephalobidae;nema_bact
Cercomonadidae;micro_omnivore
Cercozoa_MA;bacterivore
Cercozoa_UC;bacterivore
Chitinophagaceae;bact_sapro
Chthoniobacteraceae;bact_sapro
Chthonomonadaceae;bact_sapro
Chytridiomycetes;fungi_sapro
Cyclobacteriaceae;bact_sapro
Cytophagaceae;bact_sapro
Devosiaceae;bact_sapro
Diplorickettsiaceae;bact_sapro
Dothideomycetes;fungi_sapro
Entotheonellaceae;bact_sapro
Eurotiomycetes;fungi_sapro
Geminibasidiomycetes;fungi_sapro
Gemmataceae;bact_sapro
Gemmatimonadaceae;bact_sapro
Geodermatophilaceae;bact_sapro
Gimesiaceae;bact_sapro
Glissomonadida;bacterivore
Glomeromycetes;fungi_plant_symbiont
Haliangiaceae;bact_sapro
Heliobacteriaceae;bact_sapro
Hyphomicrobiaceae;bact_sapro
Inquilinaceae;bact_sapro
Intrasporangiaceae;bact_sapro
Isosphaeraceae;bact_sapro
JG30-KF-AS9;bact_sapro
JG30-KF-CM45;bact_sapro
Koribacteraceae;bact_sapro
Ktedonobacteraceae;bact_sapro
Lecanoromycetes;fungi_plant_symbiont
Legionellaceae;bact_sapro
Leotiomycetes;fungi_sapro
Magnetospirillaceae;bact_sapro
Microbacteriaceae;bact_sapro
Microbotryomycetes;yeates_sapro
Micrococcaceae;bact_sapro
Micromonosporaceae;bact_sapro
Micropepsaceae;bact_sapro
Microscillaceae;bact_sapro
Mitochondria;bact_sapro
Moraxellaceae;bact_sapro
Mucoromycota;fungi_sapro
Mycobacteriaceae;bact_sapro
Neisseriaceae;bact_sapro
Nitrosomonadaceae;bact_sapro
Nitrososphaeraceae;bact_sapro
Nitrosotaleaceae;bact_sapro
Nitrospiraceae;bact_sapro
Nocardioidaceae;bact_sapro
Nostocaceae;bact_sapro
Nucleariidae;bacterivore
Oligoflexaceae;bact_sapro
Opitutaceae;bact_sapro
OPS17;bact_sapro
Orbiliomycetes;fungi_nema_para
Orbiliomycetes;fungi_sapro
P3OB-42;bact_sapro
Paenibacillaceae;bact_sapro
Paracaedibacteraceae;bact_sapro
Pezizomycetes;fungi_sapro
Pirellulaceae;bact_sapro
Planococcaceae;bact_sapro
Polyangiaceae;bact_sapro
Pseudonocardiaceae;bact_sapro
Pyrinomonadaceae;bact_sapro
Qusdinematidae;omnivore
Reyranellaceae;bact_sapro
Rhizobiaceae;bact_sapro
Rhodanobacteraceae;bact_sapro
Rhodomicrobiaceae;bact_sapro
Rhodospirillaceae;bact_sapro
Rickettsiaceae;bact_sapro
Saccharomycetes;yeates_sapro
Schlesneriaceae;bact_sapro
SC-I-84;bact_sapro
Solibacteraceae;bact_sapro
Solirubrobacteraceae;bact_sapro
Sordariomycetes;fungi_sapro
Sphingobacteriaceae;bact_sapro
Sphingomonadaceae;bact_sapro
Spirosomaceae;bact_sapro
Streptomycetaceae;bact_sapro
Thecofilosea;micro_omnivore
Thermoactinomycetaceae;bact_sapro
Thermoanaerobaculaceae;bact_sapro
Thermomonosporaceae;bact_sapro
Tremellomycetes;fungi_plant_para
Tremellomycetes;fungi_sapro
Tremellomycetes;fungi_plant_symbiont
Ustilaginomycetes;fungi_plant_para
Vermiphilaceae;bact_sapro
Wallemiomycetes;fungi_sapro
Xanthobacteraceae;bact_sapro
Xiphinematobacteraceae;bact_sapro
Zoopagomycota_UC;fungi_fungi_para
Zoopagomycota_UC;fungi_sapro
SOM;SOM
CO2;CO2
plant;plant
