"";"nb_edge";"nb_node";"density";"brown_sources";"light_sources";"bact_sources";"fung_sources";"brown_green_ratio";"brownsum";"greensum";"bacteria_fungi_ratio";"bactsum";"fungsum";"observation_id"
"1";677;98;0,0712181779928466;86;2;74;12;62,4285714285714;874;14;13,5666666666667;814;60;"P1"
"2";683;97;0,0733462199312715;85;1;73;12;158,375;1267;8;11,7979797979798;1168;99;"P2"
"3";625;91;0,0763125763125763;79;1;69;10;148,333333333333;445;3;13,3548387096774;414;31;"P3"
"4";544;89;0,0694586312563841;77;2;62;15;36,9;369;10;5,25423728813559;310;59;"P4"
"5";557;90;0,0695380774032459;79;1;65;14;95;380;4;5,90909090909091;325;55;"P5"
"6";543;88;0,0709247648902821;77;1;63;14;92,5;370;4;5,72727272727273;315;55;"P6"
"7";661;95;0,074020156774916;83;1;70;13;117,75;471;4;8,23529411764706;420;51;"P7"
"8";682;98;0,0717441615821586;86;1;72;14;121,75;487;4;7,85454545454545;432;55;"P8"
"9";624;93;0,0729312762973352;80;1;67;13;120,6;603;5;8;536;67;"P9"
"10";635;103;0,060441652389111;92;1;78;14;170;850;5;11,1428571428571;780;70;"P10"
"11";715;102;0,0694039992234518;89;2;76;13;81,7857142857143;1145;14;13,1358024691358;1064;81;"P11"
"12";722;103;0,0687226346849419;91;1;76;15;192,833333333333;1157;6;11,4408602150538;1064;93;"P12"
"13";593;87;0,0792568831863138;75;1;65;10;140,333333333333;421;3;12,5806451612903;390;31;"P13"
"14";633;92;0,0756091734352604;80;1;70;10;150,333333333333;451;3;13,5483870967742;420;31;"P14"
"15";665;96;0,0729166666666667;84;1;74;10;158,333333333333;475;3;14,3225806451613;444;31;"P15"
"16";701;101;0,0694059405940594;88;2;73;15;79,6428571428571;1115;14;10,989247311828;1022;93;"P16"
"17";673;98;0,070797391121397;86;1;73;13;173,6;868;5;12,3538461538462;803;65;"P17"
"18";698;99;0,0719439290867862;88;1;78;10;181,4;907;5;17,5102040816327;858;49;"P18"
"19";707;100;0,0714141414141414;88;1;77;11;126,25;505;4;10,7441860465116;462;43;"P19"
"20";693;101;0,0686138613861386;89;1;75;14;179;895;5;11,7857142857143;825;70;"P20"
"21";683;100;0,068989898989899;87;2;74;13;62,7857142857143;879;14;12,5230769230769;814;65;"P21"
"22";714;102;0,0693069306930693;90;1;75;15;190,5;1143;6;11,2903225806452;1050;93;"P22"
"23";741;105;0,0678571428571429;93;1;79;14;198,833333333333;1193;6;12,7126436781609;1106;87;"P23"
"24";713;103;0,0678659813439939;91;1;78;13;184,6;923;5;13,2;858;65;"P24"
"25";706;101;0,0699009900990099;89;1;74;15;188,166666666667;1129;6;11,1397849462366;1036;93;"P25"
"26";657;95;0,073572228443449;83;1;73;10;156,333333333333;469;3;14,1290322580645;438;31;"P26"
"27";722;103;0,0687226346849419;91;1;76;15;192,833333333333;1157;6;11,4408602150538;1064;93;"P27"
"28";685;98;0,0720597517357458;86;1;72;14;182,5;1095;6;11,5862068965517;1008;87;"P28"
"29";695;102;0,0674626286158028;89;2;75;14;63,9285714285714;895;14;11,7857142857143;825;70;"P29"
"30";707;103;0,0672948791166952;90;2;77;13;65,1428571428571;912;14;13,0307692307692;847;65;"P30"
"31";797;117;0,0587238432066018;102;2;86;16;81,9444444444444;1475;18;10,2595419847328;1344;131;"metaweb"
