"";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"P1";0;0,0744225834046193;0,069767441860465;0,214421252371916;0,102564102564102;0,0838174273858918;0,0490956072351421;0,0728910728910728;0,0528967254408061;0,153777777777778;0,0577405857740585;0,0876897133220911;0,120689655172414;0,100436681222707;0,185253456221198;0,222222222222222;0,221912720519963;0,166030534351145;0,193638914873714;0,0857632933104631;0,0899742930591259;0,155866900175131;0,115487914055506;0,0981038746908491;0,0681818181818181;0,102787456445993;0,0713656387665198;0,0841750841750841;0,0985915492957747;0,0612244897959184
"P2";0,0744225834046193;0;0,24904214559387;0,251439539347409;0,111706881143878;0,0844036697247705;0,0685859441151566;0,0652173913043479;0,068566340160285;0,0756442227763923;0,0861486486486487;0,0953177257525084;0,0583873957367933;0,0800000000000001;0,22680412371134;0,163133640552995;0,223596574690771;0,181544633901705;0,220703125;0,109766637856525;0,118786857624263;0,123655913978495;0,129287598944591;0,0830564784053156;0,108677337826453;0,0570409982174689;0,0787269681742042;0,0813648293963254;0,0714872637633526;0,0534716679968075
"P3";0,069767441860465;0,068566340160285;0;0,0964378801042571;0,121428571428571;0,0506666666666664;0,0773109243697478;0,0730478589420656;0,203050524308866;0,0694214876033057;0,0672340425531914;0,236472945891784;0,0948509485094851;0,11130284728214;0,217910447761194;0,226235741444867;0,23249299719888;0,150300601202405;0,159741458910434;0,0751054852320676;0,0535117056856187;0,10387323943662;0,155322862129145;0,0730519480519478;0,0561797752808988;0,0928196147110332;0,107665805340224;0,0948419301164725;0,0700421940928271;0,0657051282051282
"P4";0,24904214559387;0,203050524308866;0,236472945891784;0;0,0818030050083471;0,0737207285342583;0,0636132315521629;0,0628272251308901;0,2219074598678;0,134246575342466;0,0640066500415628;0,244047619047619;0,0972830850131463;0,0799289520426287;0,204259438528558;0,242224316682375;0,175925925925926;0,197026022304833;0,234285714285714;0,0860927152317881;0,0852320675105485;0,110917030567686;0,133039647577093;0,0645418326693228;0,0618301731244848;0,0877497827975671;0,107692307692308;0,0521813515825493;0,0799670239076669;0,103906899418121
"P5";0,214421252371916;0,2219074598678;0,244047619047619;0,10492505353319;0;0,0783487784330243;0,0410256410256411;0,0954356846473028;0,20152817574021;0,0867256637168141;0,0587275693311582;0,234939759036145;0,051121076233184;0,0925110132158591;0,21087160262418;0,234360410830999;0,173058933582788;0,192982456140351;0,240793201133144;0,117497886728656;0,0850340136054422;0,0687830687830686;0,122557726465364;0,0715447154471545;0,0916530278232406;0,0964912280701755;0,0864406779661018;0,0882852292020373;0,0857605177993528;0,0538827258320125
"P6";0,251439539347409;0,20152817574021;0,234939759036145;0,0412147505422993;0,0879828326180256;0;0,0784641068447411;0,052901023890785;0,107266435986159;0,10880829015544;0,0524562864279767;0,118552036199095;0,0872246696035242;0,0829694323144106;0,239193083573487;0,0879828326180256;0,19622641509434;0,237603305785124;0,232927970065482;0,101867572156197;0,0780730897009967;0,105777777777778;0,12998266897747;0,0448979591836736;0,0779220779220779;0,0645446507515473;0,0692567567567568;0,0673400673400673;0,0668868703550785;0,0593978844589096
"P7";0,0964378801042571;0,107266435986159;0,118552036199095;0,175557710960233;0,170028818443804;0,185617103984451;0;0,073666384419983;0,101276595744681;0,0788590604026844;0,0819397993311035;0,120996441281139;0,0944055944055944;0,10492505353319;0,247879359095193;0,170028818443804;0,196691176470588;0,216350947158524;0,0734658599827138;0,112091791703442;0,0839445802770986;0,127493495229835;0,12999150382328;0,0796610169491523;0,0865842055185537;0,087144089732528;0,0980066445182723;0,0869925434962717;0,0796019900497513;0,0872374798061388
"P8";0,102564102564102;0,101276595744681;0,120996441281139;0,158095238095238;0,132075471698113;0,166030534351145;0,0734658599827138;0;0,131672597864769;0,0720411663807889;0,0668983492615118;0,144454799627213;0,115622241835834;0,0412147505422993;0,190654205607477;0,132075471698113;0,202520252025203;0,191076624636275;0,0994575045207957;0,100671140939597;0,104825291181364;0,144557823129252;0,121527777777778;0,0556900726392251;0,0973123262279889;0,0930626057529611;0,0898598516075846;0,0685618729096988;0,0645994832041341;0,0560897435897434
"P9";0,111706881143878;0,131672597864769;0,144454799627213;0,175175175175175;0,159563924677899;0,181544633901705;0,0994575045207957;0,0737777777777777;0;0,0725126475548061;0,0694214876033057;0,145251396648045;0,0587188612099645;0,175557710960233;0,210576015108593;0,159563924677899;0,226519337016575;0,224413145539906;0,167118337850045;0,095772217428818;0,0643274853801168;0,101650738488271;0,121185701830863;0,076285240464345;0,124887690925427;0,0855661192739845;0,10648918469218;0,0732940185341195;0,0786885245901638;0,0760425183973834
"P10";0,121428571428571;0,153777777777778;0,145251396648045;0,152;0,132673267326733;0,150300601202405;0,167118337850045;0,147424511545293;0,162790697674419;0;0,0671197960917584;0,100694444444444;0,09375;0,158095238095238;0,230476190476191;0,132673267326733;0,182238667900092;0,245428296438884;0,115611814345992;0,147260273972603;0,09375;0,102966841186736;0,134301270417423;0,0962962962962963;0,116835326586937;0,09375;0,0846605196982395;0,0946502057613168;0,0951979780960404;0,0611205432937181
