"";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"P1";0;0,0718562874251496;0,0737005430566331;0,202970297029703;0,0988023952095809;0,0807272727272725;0,0481927710843373;0,0703012912482066;0,0513950073421436;0,147465437788018;0,0564102564102562;0,0841949778434268;0,126036484245439;0,101823708206687;0,23874256584537;0,273542600896861;0,213938411669368;0,220070422535211;0,245901639344262;0,081893313298272;0,087087087087087;0,152073732718894;0,1112828438949;0,0953757225433525;0,0684736091298146;0,0983981693363845;0,0691244239631337;0,0819188191881919;0,0949963741841915;0,0579813886900502
"P2";0,0718562874251496;0;0,298059964726631;0,300353356890459;0,109375;0,0824659727782227;0,0672579453067257;0,064327485380117;0,0703789636504253;0,0743440233236152;0,0828402366863905;0,0922401171303073;0,0642054574638844;0,0834645669291338;0,274976213130352;0,218351741716228;0,213576158940397;0,233333333333333;0,272237196765499;0,111957349581112;0,114222549742078;0,122257053291536;0,12357846853677;0,0863836017569546;0,104719764011799;0,0552529182879378;0,0747800586510263;0,0786860198624904;0,0682961897915169;0,0517482517482517
"P3";0,0737005430566331;0,0703789636504253;0;0,0920152091254753;0,117103235747304;0,0488750969743987;0,0742101396032329;0,0699043414275202;0,254833040421793;0,0674401740391588;0,0704647676161918;0,290559120073327;0,100156494522692;0,112612612612613;0,268560953253896;0,280918727915194;0,219789132197891;0,216757741347905;0,21531914893617;0,074074074074074;0,0520146520146521;0,100691775557264;0,148455162019593;0,0719885958660014;0,0564174894217206;0,0900763358778627;0,109931766489765;0,0926331145149526;0,0757800891530458;0,0654468684025333
"P4";0,298059964726631;0,254833040421793;0,290559120073327;0;0,0789473684210527;0,0719152157456473;0,0623145400593472;0,0601675552170602;0,212171052631579;0,130087789305666;0,0619985412107951;0,238665526090676;0,0983981693363845;0,0878010878010878;0,257346393588602;0,291666666666667;0,166800966962127;0,25;0,288495575221239;0,083514887436456;0,0828402366863905;0,107715813598167;0,12937595129376;0,0629370629370629;0,0677348871085213;0,0849772382397571;0,105302464525765;0,0558069381598794;0,0773680404916848;0,0996363636363637
"P5";0,202970297029703;0,212171052631579;0,238665526090676;0,16370808678501;0;0,0753323485967503;0,0466165413533834;0,0923636363636362;0,253521126760563;0,082753286929621;0,0572246065808297;0,289256198347107;0,0552529182879378;0,0956388676358071;0,261245674740484;0,285223367697595;0,162866449511401;0,245957446808511;0,290434782608696;0,113249444855662;0,088455772113943;0,0679012345679011;0,123456790123457;0,0683760683760681;0,0897343862167983;0,0942528735632184;0,0836417468541819;0,0876671619613669;0,0836879432624114;0,0535838552540013
"P6";0,300353356890459;0,253521126760563;0,289256198347107;0,0406852248394005;0,148221343873518;0;0,0753474762253108;0,0556390977443608;0,103866565579985;0,104905660377359;0,0495626822157433;0,121069182389937;0,0900763358778627;0,0856709628506442;0,288495575221239;0,148221343873518;0,191735537190082;0,285033365109628;0,283993115318417;0,0998509687034277;0,0765864332603938;0,111111111111111;0,125281320330082;0,0437275985663081;0,0747330960854093;0,0691530691530691;0,0666666666666667;0,0662739322533135;0,0664739884393064;0,0646551724137931
"P7";0,0920152091254753;0,103866565579985;0,121069182389937;0,22829006266786;0,161506276150628;0,237668161434978;0;0,0725925925925923;0,0985074626865672;0,0765832106038291;0,0799706529713866;0,122969837587007;0,0971168437025796;0,16370808678501;0,298701298701299;0,161506276150628;0,188452285485164;0,267217630853994;0,072024260803639;0,108024691358025;0,082975679542203;0,123954372623574;0,123529411764706;0,0763528539659006;0,0862354892205637;0,0830815709969788;0,0938181818181818;0,0839363241678726;0,0778181818181818;0,0849858356940509
"P8";0,0988023952095809;0,0985074626865672;0,122969837587007;0,212653778558875;0,125;0,220070422535211;0,072024260803639;0;0,127725856697819;0,0690690690690692;0,0630220197418374;0,147938561034761;0,118773946360153;0,0406852248394005;0,245055889939811;0,125;0,194662480376766;0,245316681534344;0,0958036421219317;0,0986745213549338;0,102040816326531;0,141579731743666;0,116941529235382;0,0545712260807938;0,0969305331179322;0,0895632864544782;0,0874909616775126;0,066471877282688;0,0624529721595184;0,053370786516854
"P9";0,109375;0,127725856697819;0,147938561034761;0,22735674676525;0,15;0,233333333333333;0,0958036421219317;0,071651090342679;0;0,0700073691967575;0,0674401740391588;0,134661354581673;0,0691530691530691;0,22829006266786;0,262608695652174;0,15;0,216346153846154;0,273830155979203;0,161592505854801;0,0997715156130998;0,0638297872340425;0,100303951367781;0,115471698113207;0,08199121522694;0,120377655389457;0,0837735849056604;0,103649635036496;0,0777202072538861;0,0769230769230769;0,0738351254480287
"P10";0,117103235747304;0,147465437788018;0,134661354581673;0,218181818181818;0,134125636672326;0,216757741347905;0,161592505854801;0,141321044546851;0,158908507223114;0;0,0719640179910044;0,10188679245283;0,095166163141994;0,212653778558875;0,286219081272085;0,134125636672326;0,175141242937853;0,294326241134752;0,113249444855662;0,143285821455364;0,0903568716780561;0,100229533282326;0,129007036747459;0,0937950937950938;0,114859437751004;0,0896656534954408;0,0887573964497042;0,0907780979827089;0,0995542347696881;0,0585618977020015
"P11";0,0789473684210527;0,0743440233236152;0,10188679245283;0,246153846153846;0,174679487179487;0,25;0,113249444855662;0,084548104956268;0,11854103343465;0,0959520239880061;0;0,100600600600601;0,0895632864544782;0,22735674676525;0,243798118049615;0,174679487179487;0,195305951383068;0,287077189939289;0,0986745213549338;0,109293680297398;0,0630891950688905;0,0880253766851704;0,126025354213274;0,0844062947067239;0,137007874015748;0,0708661417322836;0,0554355651547875;0,085512367491166;0,0834553440702781;0,0616583982990786
"P12";0,0807272727272725;0,0674401740391588;0,100600600600601;0,23874256584537;0,185657370517928;0,245957446808511;0,0986745213549338;0,0862944162436547;0,135298563869992;0,11558538404176;0,0432317505315378;0;0,0716981132075472;0,218181818181818;0,249163879598662;0,185657370517928;0,163346613545817;0,243755383290267;0,0665584415584415;0,071651090342679;0,0869565217391304;0,0869236583522297;0,145061728395062;0,122291021671826;0,118935837245696;0,112612612612613;0,03954802259887;0,0338372930165587;0,0798258345428158;0,0951683748169838
"P13";0,0824659727782227;0,130087789305666;0,126036484245439;0,274976213130352;0,186891054030115;0,285033365109628;0,0665584415584415;0,107741420590583;0,0793650793650793;0,163786008230453;0,136186770428016;0,122291021671826;0;0,246153846153846;0,282051282051282;0,186891054030115;0,209917355371901;0,278745644599303;0,0833333333333333;0,141321044546851;0,131462333825702;0,14866979655712;0,141337386018237;0,100600600600601;0,0909090909090908;0,0753690753690754;0,0705035971223023;0,0739130434782609;0,0945054945054946;0,0447330447330447
"P14";0,0488750969743987;0,082753286929621;0,0642054574638844;0,268560953253896;0,190761334473909;0,267217630853994;0,0833333333333333;0,0610982211910287;0,0962004850444624;0,134661354581673;0,10188679245283;0,100600600600601;0,0862354892205637;0;0,238587424633936;0,190761334473909;0,221138211382114;0,284955752212389;0,0812883435582823;0,084548104956268;0,0922401171303076;0,11864406779661;0,123493975903614;0,121700879765396;0,116279069767442;0,120122417750574;0,0847212165097753;0,0629685157421289;0,0833333333333333;0,0586552217453504
"P15";0,0719152157456473;0,104905660377359;0,100156494522692;0,257346393588602;0,177352206494588;0,245316681534344;0,0812883435582823;0,0716981132075472;0,0685579196217492;0,145299145299145;0,0994841562269713;0,121700879765396;0,0969305331179322;0,0625978090766823;0;0,177352206494588;0,207729468599034;0,242502142245073;0,0845175766641735;0,0862944162436547;0,158908507223114;0,126717557251908;0,0432317505315378;0,0493915533285612;0,116822429906542;0,0856709628506442;0,108614232209738;0,0845272206303724;0,0541727672035139;0,0820895522388059
"P16";0,0753323485967503;0,0765832106038291;0,0983981693363845;0,261245674740484;0,213938411669368;0,273830155979203;0,0845175766641735;0,103092783505155;0,152073732718894;0,133333333333333;0,0776978417266188;0,0493915533285612;0,120377655389457;0,0983981693363845;0,107967237527922;0;0,237668161434978;0,256281407035176;0,110602593440122;0,107741420590583;0,11854103343465;0,0959520239880061;0,136186770428016;0,0692924872355944;0,122807017543859;0,107967237527922;0,0952040085898354;0,10140636565507;0,0832719233603538;0,0342368045649073
"P17";0,0481927710843373;0,0690690690690692;0,0552529182879378;0,288495575221239;0,213576158940397;0,294326241134752;0,110602593440122;0,087087087087087;0,122257053291536;0,1112828438949;0,0762463343108504;0,0692924872355944;0,114859437751004;0,0552529182879378;0,0903568716780563;0,0666666666666667;0;0,277397260273973;0,131736526946108;0,0610982211910287;0,135298563869992;0,11558538404176;0,10188679245283;0,0959885386819483;0,117509727626459;0,0903568716780563;0,0724852071005915;0,0561633843909553;0,0800915331807781;0,068533529845247
"P18";0,0672579453067257;0,0700073691967575;0,0900763358778627;0,298701298701299;0,219789132197891;0,287077189939289;0,131736526946108;0,114222549742078;0,100691775557264;0,12357846853677;0,068394528437725;0,0959885386819483;0,137007874015748;0,0900763358778627;0,0760059612518627;0,0938181818181818;0,0763528539659006;0;0,0803571428571428;0,0716981132075472;0,0793650793650793;0,163786008230453;0,0994841562269713;0,0783475783475784;0,136363636363636;0,0760059612518627;0,102040816326531;0,064352856109906;0,0823015294974507;0,0907770515613651
"P19";0,0742101396032329;0,0564102564102562;0,0971168437025796;0,245055889939811;0,166800966962127;0,243755383290267;0,0803571428571428;0,0520146520146521;0,107715813598167;0,148455162019593;0,0851825340014316;0,0783475783475784;0,118935837245696;0,0849772382397571;0,0711111111111109;0,0874909616775126;0,0803242446573322;0,0839363241678726;0;0,103092783505155;0,0962004850444624;0,134661354581673;0,0776978417266188;0,0999281092739037;0,0926829268292682;0,0711111111111109;0,0635838150289016;0,0704429920116194;0,0692771084337349;0,0755939524838012
"P20";0,0623145400593472;0,0828402366863905;0,118773946360153;0,262608695652174;0,162866449511401;0,278745644599303;0,081893313298272;0,0828402366863905;0,0679012345679011;0,12937595129376;0,0953757225433525;0,0999281092739037;0,0909090909090908;0,0942528735632184;0,0800299177262529;0,103649635036496;0,0744047619047619;0,066471877282688;0,0704429920116194;0;0,0685579196217492;0,145299145299145;0,0762463343108504;0,0939548434085942;0,134674922600619;0,0800299177262529;0,0763528539659006;0,06990434142752;0,086053412462908;0,0811209439528022
"P21";0,0466165413533834;0,0704647676161918;0,0691530691530691;0,286219081272085;0,191735537190082;0,284955752212389;0,111957349581112;0,088455772113943;0,111111111111111;0,123456790123457;0,0863836017569546;0,0939548434085942;0,116279069767442;0,0691530691530691;0,0796057619408641;0,0887573964497042;0,0497737556561086;0,0777202072538861;0,06990434142752;0,0757800891530458;0;0,133333333333333;0,068394528437725;0,0468085106382978;0,135525260625501;0,0796057619408641;0,0803242446573322;0,0730659025787965;0,0764705882352938;0,0983981693363845
"P22";0,0753474762253108;0,0619985412107951;0,095166163141994;0,243798118049615;0,188452285485164;0,242502142245073;0,074074074074074;0,0765864332603938;0,123954372623574;0,125281320330082;0,0719885958660014;0,0468085106382978;0,116822429906542;0,0830815709969788;0,116519174041298;0,0554355651547875;0,0696991929567132;0,0907780979827089;0,0730659025787965;0,0773680404916848;0,0945054945054946;0;0,0851825340014316;0,0201809324982603;0,130228887134964;0,116519174041298;0,0744047619047619;0,0569219957835558;0,0328901329601119;0,0758827948910594
"P23";0,0703012912482066;0,0572246065808297;0,0895632864544782;0,249163879598662;0,194662480376766;0,256281407035176;0,083514887436456;0,082975679542203;0,141579731743666;0,123529411764706;0,0629370629370629;0,0201809324982603;0,122807017543859;0,0895632864544782;0,0990600144613161;0,03954802259887;0,0589928057553957;0,085512367491166;0,0569219957835558;0,0836879432624114;0,0833333333333333;0,0328901329601119;0;0,0616583982990786;0,119624706802189;0,0990600144613161;0,0497737556561086;0,0837508947745169;0,0620099786172488;0,0781831720029782
"P24";0,064327485380117;0,0495626822157433;0,0716981132075472;0,282051282051282;0,216346153846154;0,277397260273973;0,113249444855662;0,102040816326531;0,100303951367781;0,116941529235382;0,0683760683760681;0,0616583982990786;0,117509727626459;0,0837735849056604;0,081798084008843;0,0705035971223023;0,0527859237536656;0,0338372930165587;0,0837508947745169;0,0664739884393064;0,0541727672035139;0,0620099786172488;0,0517482517482517;0;0,0625978090766823;0,081798084008843;0,0696991929567132;0,079250720461095;0,0703012912482066;0,0910415149308084
