"";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"P1";0;0,0666666666666669;0,0687830687830691;0,138297872340426;0,0918367346938775;0,074626865671642;0,0510204081632653;0,0640394088669947;0,0547263681592043;0,0900000000000001;0,0558375634517763;0,0854271356783913;0,101123595505618;0,0833333333333337;0,114583333333333;0,141304347826086;0,151832460732984;0,0967741935483872;0,121693121693122;0,0714285714285714;0,0714285714285714;0,134020618556702;0,0547263681592043;0,0837438423645318;0,0588235294117647;0,088082901554404;0,0680628272251311;0,0653266331658289;0,0891089108910885;0,0536585365853663
"P2";0,0666666666666669;0;0,165775401069518;0,172043010752688;0,109947643979058;0,0810810810810809;0,0659898477157361;0,0646766169154229;0,0638297872340428;0,0753768844221099;0,0808080808080807;0,0900000000000001;0,0491803278688523;0,0752688172043008;0,147727272727273;0,0937499999999998;0,138297872340426;0,104972375690608;0,136612021857923;0,0974358974358978;0,106598984771573;0,109947643979058;0,0693069306930691;0,0693069306930696;0,0909090909090911;0,0526315789473684;0,0653266331658289;0,0777202072538858;0,0640394088669947;0,0384615384615388
"P3";0,0687830687830691;0,0638297872340428;0;0,088082901554404;0,0646766169154229;0,0526315789473684;0,0707070707070705;0,0653266331658289;0,139784946236558;0,0699999999999998;0,0659898477157357;0,155555555555555;0,0802139037433152;0,0927835051546391;0,138121546961326;0,155080213903743;0,153439153439153;0,120418848167539;0,0890052356020941;0,0659898477157352;0,0505050505050506;0,104166666666667;0,0837438423645323;0,0686274509803926;0,0485436893203883;0,0890052356020941;0,0927835051546386;0,074626865671642;0,0646766169154229;0,0582524271844664
"P4";0,165775401069518;0,139784946236558;0,155555555555555;0;0,0699999999999998;0,0721649484536078;0,0653266331658289;0,0673575129533683;0,155080213903743;0,119565217391304;0,0653266331658287;0,160220994475138;0,0833333333333337;0,0687830687830691;0,124324324324324;0,151832460732985;0,105263157894737;0,126315789473685;0,161290322580645;0,0800000000000001;0,0653266331658289;0,0984455958549226;0,0686274509803921;0,06280193236715;0,0547263681592043;0,0729166666666667;0,101010101010101;0,0408163265306125;0,0640394088669951;0,0900000000000003
"P5";0,138297872340426;0,155080213903743;0,160220994475138;0,0949720670391061;0;0,0653266331658289;0,0404040404040407;0,0845771144278609;0,135135135135135;0,0793650793650786;0,0594059405940597;0,150837988826816;0,0476190476190477;0,088082901554404;0,136842105263158;0,145833333333333;0,0890052356020945;0,120418848167539;0,157894736842105;0,101010101010101;0,0707070707070705;0,0618556701030932;0,0640394088669947;0,0634146341463422;0,0731707317073174;0,088082901554404;0,0854271356783918;0,0799999999999996;0,0679611650485441;0,0480769230769236
"P6";0,172043010752688;0,135135135135135;0,150837988826816;0,0395480225988702;0,0786516853932586;0;0,0699999999999998;0,0510204081632653;0,104166666666667;0,0984455958549222;0,0499999999999998;0,0967741935483868;0,0842105263157893;0,0824742268041241;0,155080213903743;0,0786516853932586;0,115789473684211;0,154285714285714;0,151832460732984;0,0918367346938771;0,0699999999999998;0,0984455958549226;0,0536585365853663;0,0443349753694582;0,0679611650485437;0,0625;0,0552763819095476;0,0646766169154229;0,0588235294117647;0,0541871921182264
"P7";0,088082901554404;0,104166666666667;0,0967741935483868;0,108695652173913;0,102702702702703;0,114754098360656;0;0,0699999999999998;0,0974358974358978;0,0808080808080807;0,0808080808080807;0,100529100529101;0,0785340314136127;0,0949720670391061;0,170212765957447;0,102702702702703;0,125;0,133333333333333;0,0673575129533683;0,0947368421052632;0,0738916256157633;0,107692307692308;0,0576923076923082;0,0659898477157352;0,0726256983240225;0,0721649484536084;0,0900000000000001;0,0753768844221103;0,0594059405940592;0,0724637681159421
"P8";0,0918367346938775;0,0974358974358978;0,100529100529101;0,0909090909090911;0,0638297872340423;0,0967741935483872;0,0673575129533683;0;0,11578947368421;0,0666666666666669;0,0625000000000004;0,130434782608696;0,104166666666667;0,0395480225988702;0,121693121693121;0,0638297872340423;0,128205128205129;0,108695652173913;0,0851063829787231;0,0909090909090911;0,0845771144278609;0,121212121212122;0,058252427184466;0,0536585365853663;0,0819672131147533;0,0761421319796951;0,0845771144278604;0,0699999999999998;0,0612244897959182;0,0480769230769236
"P9";0,109947643979058;0,11578947368421;0,130434782608696;0,098901098901099;0,0819672131147542;0,104972375690608;0,0851063829787231;0,0575916230366491;0;0,0612244897959182;0,0699999999999998;0,0824742268041241;0,0575916230366496;0,108695652173913;0,126315789473684;0,0819672131147542;0,139896373056995;0,153439153439153;0,0909090909090911;0,088082901554404;0,0552763819095476;0,091836734693878;0,0490196078431373;0,0699999999999998;0,106382978723404;0,0769230769230766;0,089108910891089;0,0753768844221103;0,0588235294117647;0,0588235294117647
"P10";0,0646766169154229;0,0900000000000001;0,0824742268041241;0,125;0,10880829015544;0,120418848167539;0,0909090909090911;0,074626865671642;0,102040816326531;0;0,0666666666666669;0,088082901554404;0,0777202072538858;0,0909090909090911;0,142857142857143;0,10880829015544;0,109947643979058;0,161290322580645;0,106598984771573;0,126903553299492;0,0777202072538858;0,0824742268041241;0,0707070707070705;0,0784313725490193;0,102702702702703;0,0777202072538858;0,0646766169154229;0,0845771144278613;0,0753768844221103;0,0606060606060601
