"";"0";"1";"2"
"P1";13;3,22692781898139;1,86863184876642
"P2";15;3,4346195072067;1,91652974038778
"P3";12;3,0197546320017;1,80562304755293
"P4";13;3,55882871882596;2,0629247971936
"P5";13;3,47047595833256;2,0185708518369
"P6";13;3,39283346409013;1,97513930561509
"P7";13;3,28593725270472;1,94204685573366
"P8";13;3,32924675396352;1,9505016722408
"P9";13;3,43605756561678;1,99234009957871
"P10";13;3,08474913571933;1,82438957097531
"P11";14;3,42306380610652;1,93910402429765
"P12";14;3,39078982085476;1,96018099547511
"P13";12;3,17192027684643;1,88158432013067
"P14";12;3,0436452778946;1,81738820595047
"P15";12;2,95127288091596;1,77222311525478
"P16";14;3,56751114237973;2,03570269393054
"P17";13;3,27133268362026;1,90900163666121
"P18";13;2,91746043653815;1,73268193087356
"P19";13;3,10152847504862;1,80543121456282
"P20";13;3,25301438732347;1,91171450737005
"P21";13;3,39322461886703;1,95704697986577
"P22";14;3,41684588029379;1,97326533766033
"P23";14;3,28636803121527;1,89681420919087
"P24";13;3,14976411184983;1,8492396813903
"P25";14;3,44345574824576;1,98669623059867
"P26";12;2,97358568756458;1,78305308275635
"P27";14;3,39078982085476;1,96018099547511
"P28";14;3,52654209674008;2,01531420524556
"P29";13;3,34574873650765;1,9454094292804
"P30";13;3,26367011662353;1,89310600444774
