"";"TG";"P1";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30"
"1";"bact_sapro";75;74;71;63;66;64;71;73;68;80;77;77;66;71;75;74;74;79;78;76;74;76;80;79;75;74;77;72;76;78
"2";"bacterivore";4;4;4;2;3;2;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
"3";"CO2";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"4";"fungi_fungi_para";0;1;0;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0
"5";"fungi_nema_para";1;1;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1
"6";"fungi_plant_para";2;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;2
"7";"fungi_plant_symbiont";2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3
"8";"fungi_sapro";10;10;9;13;12;12;12;12;11;12;11;13;9;9;9;13;11;9;9;12;11;13;12;11;13;9;13;12;12;11
"9";"fungivore";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"10";"micro_omnivore";2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
"11";"nema_bact";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"12";"omnivore";0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";"plant";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"14";"SOM";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
"15";"yeates_sapro";2;2;1;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2
