"";"keys";"names";"trophic_group"
"1";"2684876";"Abies";7
"2";"5250615";"Absidia glauca";3
"3";"2560113";"Acaulospora laevis";3
"4";"4728";"Acetobacteraceae";17
"5";"2308383";"Achaeta";15
"6";"8265293";"Achaeta affinis";15
"7";"8391327";"Achaeta bifollicula";15
"8";"4409927";"Achaeta cf. bohemica PDW-2010";15
"9";"8750602";"Achaeta unibulba";15
"10";"9221087";"Achillea millefolium";7
"11";"120786288";"Acidiferrobacteraceae";17
"12";"3848";"Acidimicrobiaceae";17
"13";"3225859";"Acidimicrobium";17
"14";"3221548";"Acidisphaera";17
"15";"7462160";"Aciditerrimonas";17
"16";"25";"Acidobacteria";17
"17";"3811";"Acidobacteriaceae";17
"18";"3229010";"Acidobacterium";17
"19";"3224612";"Acidothermus";17
"20";"3220140";"Acidovorax";17
"21";"3223263";"Acinetobacter";17
"22";"2283761";"Acrobeles";14
"23";"2283754";"Acrobeloides";14
"24";"9044526";"Acrospermum";3
"25";"8657939";"Acrospermum gramineum";3
"26";"8066383";"Actinoallomurus";17
"27";"103018377";"Actinobacteria";17
"28";"3224487";"Actinocatenispora";17
"29";"3225210";"Actinomadura";17
"30";"9407921";"Actinomyces";17
"31";"3224204";"Actinoplanes";17
"32";"2077503";"Acyrthosiphon pisum";20
"33";"3228858";"Adhaeribacter";17
"34";"1000794";"Adineta vaga";15
"35";"3224336";"Aeromicrobium";17
"36";"7736279";"Aeromicrobium panaciterrae";17
"37";"1162125";"Agriotes";20
"38";"4308843";"Agriotes sordidus";20
"39";"3225265";"Agromyces";17
"40";"2596";"Alaimidae";15
"41";"2282770";"Alaimus";14
"42";"2128073";"Alicorhagia";16
"43";"4410938";"Allolobophora chlorotica";20
"44";"9426362";"Allovahlkampfia";6
"45";"2876099";"Alnus";7
"46";"197";"Alphaproteobacteria";17
"47";"4901674";"Altererythrobacter";17
"48";"9330269";"Altererythrobacter buctense";17
"49";"7388975";"Alternaria";3
"50";"2560223";"Ambispora fennica";3
"51";"2560216";"Ambispora gerdemannii";3
"52";"3220999";"Aminobacter";17
"53";"2282769";"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";15
"54";"7891174";"Amphileptidae";6
"55";"7834375";"Amphileptus";6
"56";"1063891";"Amphimallon solstitiale";20
"57";"7842856";"Amplimerlinius";8
"58";"4556265";"Amplimerlinius icarus";15
"59";"3224882";"Amycolatopsis tolypomycina";17
"60";"3220545";"Anaeromyxobacter";17
"61";"6509";"Anatonchidae";15
"62";"2282578";"Anatonchus tridentatus";15
"63";"2553";"Anguinidae";15
"64";"7892291";"Angustibacter luteus";17
"65";"8254023";"Anoplophrya marylandensis";6
"66";"8167254";"Anteholosticha";6
"67";"7784418";"Anteholosticha gracilis";6
"68";"8090887";"Anteholosticha monilata";6
"69";"8167254C1";"Anteholosticha rectangula";6
"70";"2131873";"Anystis";20
"71";"3202934";"Aphanomyces";6
"72";"2284354";"Aphelenchoides";19
"73";"2284394";"Aphelenchus";19
"74";"2284396";"Aphelenchus avenae";15
"75";"3042";"Aphididae";20
"76";"1269085";"Aphidius ervi";20
"77";"2049562";"Aphis";20
