"";"keys";"names";"trophic_group"
"1";"2684876";"Abies";7
"2";"5250615";"Absidia glauca";11
"3";"2560113";"Acaulospora laevis";11
"4";"4728";"Acetobacteraceae";2
"5";"2308383";"Achaeta";9
"6";"8265293";"Achaeta affinis";9
"7";"8391327";"Achaeta bifollicula";9
"8";"4409927";"Achaeta cf. bohemica PDW-2010";9
"9";"8750602";"Achaeta unibulba";9
"10";"9221087";"Achillea millefolium";7
"11";"120786288";"Acidiferrobacteraceae";2
"12";"3848";"Acidimicrobiaceae";2
"13";"3225859";"Acidimicrobium";2
"14";"3221548";"Acidisphaera";2
"15";"7462160";"Aciditerrimonas";2
"16";"25";"Acidobacteria";2
"17";"3811";"Acidobacteriaceae";2
"18";"3229010";"Acidobacterium";2
"19";"3224612";"Acidothermus";2
"20";"3220140";"Acidovorax";2
"21";"3223263";"Acinetobacter";2
"22";"2283761";"Acrobeles";13
"23";"2283754";"Acrobeloides";13
"24";"9044526";"Acrospermum";11
"25";"8657939";"Acrospermum gramineum";11
"26";"8066383";"Actinoallomurus";2
"27";"103018377";"Actinobacteria";2
"28";"3224487";"Actinocatenispora";2
"29";"3225210";"Actinomadura";2
"30";"9407921";"Actinomyces";2
"31";"3224204";"Actinoplanes";2
"32";"2077503";"Acyrthosiphon pisum";5
"33";"3228858";"Adhaeribacter";2
"34";"1000794";"Adineta vaga";9
"35";"3224336";"Aeromicrobium";2
"36";"7736279";"Aeromicrobium panaciterrae";2
"37";"1162125";"Agriotes";5
"38";"4308843";"Agriotes sordidus";5
"39";"3225265";"Agromyces";2
"40";"2596";"Alaimidae";9
"41";"2282770";"Alaimus";13
"42";"2128073";"Alicorhagia";12
"43";"4410938";"Allolobophora chlorotica";5
"44";"9426362";"Allovahlkampfia";9
"45";"2876099";"Alnus";7
"46";"197";"Alphaproteobacteria";2
"47";"4901674";"Altererythrobacter";2
"48";"9330269";"Altererythrobacter buctense";2
"49";"7388975";"Alternaria";11
"50";"2560223";"Ambispora fennica";11
"51";"2560216";"Ambispora gerdemannii";11
"52";"3220999";"Aminobacter";2
"53";"2282769";"Amphidelus cf. pusillus 9 Mile 3-17 LP-02";9
"54";"7891174";"Amphileptidae";9
"55";"7834375";"Amphileptus";9
"56";"1063891";"Amphimallon solstitiale";5
"57";"7842856";"Amplimerlinius";6
"58";"4556265";"Amplimerlinius icarus";9
"59";"3224882";"Amycolatopsis tolypomycina";2
"60";"3220545";"Anaeromyxobacter";2
"61";"6509";"Anatonchidae";9
"62";"2282578";"Anatonchus tridentatus";9
"63";"2553";"Anguinidae";9
"64";"7892291";"Angustibacter luteus";2
"65";"8254023";"Anoplophrya marylandensis";9
"66";"8167254";"Anteholosticha";9
"67";"7784418";"Anteholosticha gracilis";9
"68";"8090887";"Anteholosticha monilata";9
"69";"8167254C1";"Anteholosticha rectangula";9
"70";"2131873";"Anystis";5
"71";"3202934";"Aphanomyces";9
"72";"2284354";"Aphelenchoides";1
"73";"2284394";"Aphelenchus";1
"74";"2284396";"Aphelenchus avenae";9
"75";"3042";"Aphididae";5
"76";"1269085";"Aphidius ervi";5
"77";"2049562";"Aphis";5
"78";"4424949";"Aphodius johnsoni";5
"79";"6720";"Apiaceae";7
"80";"7239018";"Apiotrichum";11
"81";"3295536";"Apiotrichum porosum";11
"82";"2282747";"Aporcelaimellus";15
"83";"5986";"Aporcelaimidae";9
"84";"2307755";"Aporrectodea";5
"85";"2307759";"Aporrectodea caliginosa";5
"86";"2307757";"Aporrectodea longa";5
"87";"2307760";"Aporrectodea rosea";5
"88";"4378322";"Apusomonadidae";4
"89";"4892213C1";"Apusomonas proboscidea";9
"90";"6716";"Aquifoliaceae";7
"91";"7628767";"Archaeorhizomyces";11
"92";"8139865";"Archaeorhizomyces borealis";11
"93";"7870834";"Archaeorhizomyces finlayi";11
"94";"2560211";"Archaeospora";11
"95";"2560212";"Archaeospora trappei";11
"96";"1149";"Archaeosporales";11
"97";"7595878";"Arcuospathidium namibiense";9
"98";"4889775";"Arenimonas";2
"99";"7400549";"Arenimonas daechungensis";2
"100";"3223550";"Arthrobacter";2
"101";"9381748C1";"Articulospora proliferata";11
"102";"2569641";"Ascobolus";11
"103";"2595607";"Ascobolus stercorarius";11
"104";"3065";"Asteraceae";7
"105";"414";"Asterales";7
"106";"2552703";"Asterostroma andinum";11
"107";"8072279";"Astomatida";9
"108";"8011702";"Athous";5
"109";"2076745";"Aulacorthum solani";6
"110";"2595861";"Auxarthron";11
"111";"3221657";"Azospirillum";2
"112";"8113";"Bacillaceae";2
"113";"576";"Bacillales";2
"114";"8176985";"Bacillariophyta";5
"115";"3227637";"Bacillus";2
"116";"3";"Bacteria";14
"117";"3220694";"Bacteriovorax";2
"118";"3222857";"Bacteroides";2
"119";"81";"Bacteroidetes";2
"120";"5280516";"Barbula unguiculata";5
"121";"7618777";"Bardeliella pulchra";13
"122";"1198632";"Barynotus moerens";5
"123";"1198651";"Barynotus obscurus";5
"124";"2558164";"Basidiobolus";11
"125";"9572544";"Basiria";6
"126";"2283334";"Bastiania";13
"127";"2283337";"Bastiania gracilis";9
"128";"1234";"Bdelloidea";9
"129";"3220688";"Bdellovibrio";2
"130";"8292626";"Bdellovibrio exovorus";2
"131";"652";"Bdellovibrionales";2
"132";"2560584";"Beauveria";3
"133";"4903400";"Bellilinea";2
"134";"337";"Betaproteobacteria";2
"135";"4688";"Betulaceae";7
"136";"7381412";"Bicosoeca petiolata";9
"137";"2584306";"Bisporella citrina";11
"138";"4663886";"Blaberolaelaps";5
"139";"3220883";"Blastochloris";2
"140";"3224726";"Blastococcus";2
"141";"7789319";"Blepharisma";9
"142";"7385619";"Blepharisma hyalinum";15
"143";"7807526";"Bodo";9
"144";"4898692";"Bodomorpha";9
"145";"3235464";"Bodonidae";9
"146";"3323387";"Bolbitius vitellinus";11
"147";"4555966";"Boleodorus volutus";9
"148";"8701";"Botryidiopsidaceae";5
"149";"8702";"Botryochloridaceae";5
"150";"3201168";"Botryochloris";5
"151";"5259396";"Boudiera acanthospora";11
"152";"2587454";"Brachyphoris oviparasitica";11
"153";"2642049";"Bracteacoccus";5
"154";"7814";"Bradyrhizobiaceae";2
"155";"3221031";"Bradyrhizobium";2
"156";"1489006";"Bradysia subrufescens";1
"157";"3112";"Brassicaceae";7
"158";"8118209";"Bresslaua vorax";15
"159";"7691700";"Bresslauides discoideus";8
"160";"3221698";"Brevundimonas";2
"161";"8736";"Bryaceae";5
"162";"8098413";"Bryometopus pseudochilodon";13
"163";"8108604";"Bryometopus sphagni";4
"164";"35";"Bryophyta";5
"165";"327";"Bryopsida";5
"166";"5739693";"Buchholzia fallax";9
"167";"2518120";"Bullera";11
"168";"3201444";"Bumilleriopsis";5
"169";"3219916";"Burkholderia";2
"170";"3219940";"Burkholderia cepacia";2
"171";"5438";"Burkholderiaceae";2
"172";"648";"Burkholderiales";2
"173";"4892105";"Byssovorax";2
"174";"4891451";"Caenimonas";2
"175";"3229042";"Caldilinea";2
"176";"2882482";"Calluna vulgaris";7
"177";"2525705";"Camarophyllus";11
"178";"5243715";"Campanella subdendrophora";11
"179";"2119498";"Campodea";5
"180";"2119537";"Campodea fragilis";5
"181";"7799711";"Canavalia ensiformis";7
"182";"119788004";"Candidatus Nitrosocosmicus";2
"183";"8079935C1";"Candidatus Nitrososphaera gargensis";2
"184";"104001606";"Candidatus Solibacter";2
"185";"103997429";"Candidatus Solibacter usitatus";2
"186";"4886653";"Capsellina";9
"187";"3045622";"Cardamine";7
"188";"6636";"Caricaceae";7
"189";"3224489";"Catellatospora";2
"190";"2626861";"Catenaria";11
"191";"3224359";"Catenulispora";2
"192";"7410456";"Catenulispora graminis";2
"193";"8380316";"Caudiholosticha";9
"194";"7904860";"Caudiholosticha sylvatica";9
"195";"2642884";"Caulerpa cupressoides";5
"196";"3221268";"Caulobacter";2
"197";"3221696";"Caulobacter fusiformis";2
"198";"8232225";"Caulobacter profundus";2
"199";"4723";"Caulobacteraceae";2
"200";"8630017";"Cedrus";7
"201";"3224279";"Cellulomonas";2
"202";"3223108";"Cellvibrio";2
"203";"5900469";"Cenarchaeum symbiosum";2
"204";"2560";"Cephalobidae";9
"205";"2283740";"Cephalobus persegnis";9
"206";"3085444";"Cerastium arcticum";7
"207";"2121254";"Ceratophysella";5
"208";"9721556";"Cercomonadida";9
"209";"2164";"Cercomonadidae";4
"210";"3210222";"Cercomonas";9
"211";"3210222C1";"Cercomonas alexieffi";9
"212";"3210222C2";"Cercomonas braziliensis";9
"213";"3210222C3";"Cercomonas celer";9
"214";"3210222C4";"Cercomonas fastiga";9
"215";"3210222C5";"Cercomonas media";9
"216";"3210222C6";"Cercomonas parambigua";9
"217";"3210222C7";"Cercomonas parincurva";9
"218";"3210222C8";"Cercomonas radiata";9
"219";"3210222C9";"Cercomonas rapida";9
"220";"3210222C10";"Cercomonas vacuolata";9
"221";"7554783";"Cetraspora nodosa";11
"222";"3464398";"Chaetosphaeria ciliata";11
"223";"7575131";"Chamaedrilus";9
"224";"9430745";"Chamaedrilus aff. glandulosus A SM-2014";9
"225";"8922158";"Chamaedrilus aff. sphagnetorum C SM-2014";9
"226";"2594455";"Cheilymenia stercorea";11
"227";"3228826";"Chitinophaga";2
"228";"8005235";"Chitinophaga oryziterrae";2
"229";"3228831";"Chitinophaga pinensis";2
"230";"4903787";"Chitinophagaceae";2
"231";"126091324";"Chitinophagales";2
"232";"8816";"Chlamydomonadaceae";5
"233";"8223403";"Chlamydomonadales";9
"234";"5271044";"Chlamydomonas";5
"235";"5271044C1";"Chlamydomonas philotes";5
"236";"5271221";"Chlamydomonas reinhardtii";5
"237";"3194385C1";"Chlamydomyxa labyrinthuloides";9
"238";"3235907";"Chlamydophryidae";4
"239";"2638467";"Chlorella";5
"240";"5270951";"Chlorella emersonii";5
"241";"4852";"Chlorellaceae";5
"242";"3201179";"Chlorellidium";5
"243";"3201179C1";"Chlorellidium tetrabotrys";5
"244";"5271881";"Chlorococcum";5
"245";"84";"Chloroflexi";2
"246";"3229052";"Chloroflexus";2
"247";"329";"Chlorophyceae";9
"248";"36";"Chlorophyta";14
"249";"9765899";"Choanoflagellida";9
"250";"4445230";"Choleva angustata";1
"251";"3220588";"Chondromyces";2
"252";"667";"Chromatiales";2
"253";"2538825";"Chromosera";11
"254";"7131";"Chromulinaceae";9
"255";"3228687";"Chryseobacterium";2
"256";"104372713";"Chthoniobacter flavus";2
"257";"2124312";"Chthonius";5
"258";"7571";"Chytridiaceae";11
"259";"3384941";"Chytridium polysiphoniae";11
"260";"2518208";"Cladosporium";6
"261";"2283346";"Clarkus";8
"262";"7617598";"Claroideoglomus claroideum";11
"263";"3225355";"Clavibacter";2
"264";"3226206";"Clostridium";2
"265";"2642071";"Coccomyxa";9
"266";"2559238";"Cochlonema euryblastum";11
"267";"8065748";"Codosiga";9
"268";"2638548C1";"Coelastrella saipanensis";5
"269";"546";"Collembola";1
"270";"8136143";"Colpoda";9
"271";"7559248";"Colpoda inflata";13
"272";"8229102";"Colpodea";1
"273";"7773411";"Colpodida";9
"274";"5439";"Comamonadaceae";2
"275";"3220118";"Comamonas";2
"276";"3223545";"Conexibacter";2
"277";"2559647";"Conidiobolus coronatus";11
"278";"2559645";"Conidiobolus firmipilleus";11
"279";"2559630";"Conidiobolus lamprauges";11
"280";"6026760";"Conopodium majus";7
"281";"2389";"Convolvulaceae";7
"282";"3451388";"Cordyceps cylindrica";11
"283";"2560689";"Cordyceps memorabilis";11
"284";"103969122";"Corynebacteriales";2
"285";"4378507C1";"Corythion dubium";9
"286";"7455377";"Craterocolla cerasi";11
"287";"3228479";"Crocinitomix";2
"288";"2121983C1";"Crossodonthina koreana";5
"289";"2566393";"Cryphonectria parasitica";11
"290";"5467845";"Cryptococcus amylolentus";11
"291";"6634";"Cucurbitaceae";7
"292";"8246938";"Cultellothrix coemeterii";9
"293";"8084084";"Cultellothrix lionotiformis";9
"294";"3220005";"Cupriavidus";2
"295";"3220112";"Curvibacter";2
"296";"1013578";"Cylindroiulus caeruleocinctus";5
"297";"7966900";"Cyphellophora sessilis";11
"298";"7520151";"Cyrtolophosidida";9
"299";"8236668";"Cyrtolophosididae";9
"300";"3220549";"Cystobacter";2
"301";"2555962";"Cystobasidium";1
"302";"3228397";"Cytophaga";2
"303";"3228931";"Cytophaga hutchinsonii";2
"304";"3237749";"Cytophagaceae";2
"305";"2705308";"Dactylis glomerata";7
"306";"3224595";"Dactylosporangium";2
"307";"3220302";"Dechloromonas";2
"308";"6533843";"Dehalococcoides";2
"309";"3220129";"Delftia";2
"310";"338";"Deltaproteobacteria";2
"311";"4901371";"Demequina";2
"312";"7794229";"Demequinaceae";2
"313";"3220316";"Denitratisoma";2
"314";"3219826";"Derxia";2
"315";"2652440";"Desmodesmus";5
"316";"3226460";"Desulfitobacterium";2
