;Name;Level;conflict
6;Aphanomyces;genus;0
11;Beauveria;genus;0
15;Cystobasidium;genus;0
19;Herpetomonas;genus;0
21;Heterodera;genus;0
28;Magnaporthe;genus;0
227;Pratylenchus;species;0
228;Protomyces;genus;0
401;Acrobeloides;genus;0
403;Alaimus;genus;0
405;Alicorhagia;genus;0
406;Allovahlkampfia;genus;0
437;Auxarthron;genus;0
440;Basiria;genus;0
450;Bodo;genus;0
455;Bullera;genus;0
456;Camarophyllus;genus;0
458;Catenaria;genus;0
477;Chromosera;genus;0
485;Clarkus;genus;0
508;Dictyosporium;genus;0
529;Ecumenicus;genus;0
550;Eumonhystera;genus;0
554;Geophilidae;family;0
629;Mallomonadaceae;family;0
654;Metateratocephalus;genus;0
657;Mucor;genus;0
668;Nucleariidae;family;0
693;Odontolaimus;genus;0
706;Panaeolus;genus;0
710;Paulinellidae;family;0
718;Phaeosphaeria;genus;0
726;Preussia;genus;0
742;Pseudaphelenchus;genus;0
744;Psora;genus;0
758;Rhabditis;genus;0
760;Rhabdolaimus;genus;0
776;Scytinostroma;genus;0
786;Sphenoderiidae;family;0
805;Sporobolomyces;genus;0
823;Talaromyces;genus;0
840;Tripyla;genus;0
847;Tyrophagus;genus;0
878;Pemphigus;genus;0
898;Athous;genus;0
975;Enchtraeidae;family;0
977;Pisum;genus;0
978;Trifolium;genus;0
986;Soil Organic Matter;NA;0
987;Ranunculacae;family;0
990;Calliphoridae;family;0
991;Muscidae;family;0
1004;Cucurbitaceae;family;0
1005;Agropyron;genus;0
1006;Agrostis;genus;0
1007;Amaranthus;genus;0
1008;Anethum;genus;0
1009;Apium;genus;0
1010;Arctium;genus;0
1011;Avena;genus;0
1012;Bidens;genus;0
1014;Bromus;genus;0
1015;Carex;genus;0
1016;Cucumis;genus;0
1018;Fragaria;genus;0
1019;Hordeum;genus;0
1020;Lactuca;genus;0
1021;Lycopersicon;genus;0
1022;Matricaria;genus;0
1023;Nicotiana;genus;0
1024;Petroselinum;genus;0
1025;Phleum;genus;0
1026;Plantago;genus;0
1027;Poa;genus;0
1028;Stellaria;genus;0
1031;Veronica;genus;0
1033;Acacia mearnsii;species;0
1034;Acanthus mollis;species;0
1036;Agrimonia;genus;0
1037;Agrimonia pubescens;species;0
1038;Alchemilla vulgaris;species;0
1039;Alhagi;genus;0
1040;Alhagi persarum;species;0
1041;Allium cardiostemon;species;0
1042;Aloe plicatilis;species;0
1043;Anthriscus nemorosa;species;0
1044;Arachis hypogaea;species;0
1045;Arenaria fendleri;species;0
1046;Arenaria peploides;species;0
1047;Artemisia;genus;0
1048;Artemisia parviflora;species;0
1049;Asperula;genus;0
1050;Atractylodes ;species;0
1051;Avena sativa;species;0
1052;Berberis;genus;0
