LECA_id;Site;Parcelle;Echantillon;Repet;Couples
BISE01_a;Mons;T1;1;1;A+
BISE01_b;Mons;T1;1;2;A+
BISE01_c;Mons;T1;1;3;A+
BISE01_d;Mons;T1;1;4;A+
BISE02_a;Mons;T1;2;1;A+
BISE02_b;Mons;T1;2;2;A+
BISE02_c;Mons;T1;2;3;A+
BISE02_d;Mons;T1;2;4;A+
BISE03_a;Mons;T1;3;1;A+
BISE03_b;Mons;T1;3;2;A+
BISE03_c;Mons;T1;3;3;A+
BISE03_d;Mons;T1;3;4;A+
BISE04_a;Mons;T1;4;1;A+
BISE04_b;Mons;T1;4;2;A+
BISE04_c;Mons;T1;4;3;A+
BISE04_d;Mons;T1;4;4;A+
BISE05_a;Mons;T2;1;1;B+
BISE05_b;Mons;T2;1;2;B+
BISE05_c;Mons;T2;1;3;B+
BISE05_d;Mons;T2;1;4;B+
BISE06_a;Mons;T2;2;1;B+
BISE06_b;Mons;T2;2;2;B+
BISE06_c;Mons;T2;2;3;B+
BISE06_d;Mons;T2;2;4;B+
BISE07_a;Mons;T2;3;1;B+
BISE07_b;Mons;T2;3;2;B+
BISE07_c;Mons;T2;3;3;B+
BISE07_d;Mons;T2;3;4;B+
BISE08_a;Mons;T2;4;1;B+
BISE08_b;Mons;T2;4;2;B+
BISE08_c;Mons;T2;4;3;B+
BISE08_d;Mons;T2;4;4;B+
BISE09_a;Mons;T3;1;1;B-
BISE09_b;Mons;T3;1;2;B-
BISE09_c;Mons;T3;1;3;B-
BISE09_d;Mons;T3;1;4;B-
BISE10_a;Mons;T3;2;1;B-
BISE10_b;Mons;T3;2;2;B-
BISE10_c;Mons;T3;2;3;B-
BISE10_d;Mons;T3;2;4;B-
BISE11_a;Mons;T3;3;1;B-
BISE11_b;Mons;T3;3;2;B-
BISE11_c;Mons;T3;3;3;B-
BISE11_d;Mons;T3;3;4;B-
BISE12_a;Mons;T3;4;1;B-
BISE12_b;Mons;T3;4;2;B-
BISE12_c;Mons;T3;4;3;B-
BISE12_d;Mons;T3;4;4;B-
BISE13_a;Mons;T4;1;1;A-
BISE13_b;Mons;T4;1;2;A-
BISE13_c;Mons;T4;1;3;A-
BISE13_d;Mons;T4;1;4;A-
BISE14_a;Mons;T4;2;1;A-
BISE14_b;Mons;T4;2;2;A-
BISE14_c;Mons;T4;2;3;A-
BISE14_d;Mons;T4;2;4;A-
BISE15_a;Mons;T4;3;1;A-
BISE15_b;Mons;T4;3;2;A-
BISE15_c;Mons;T4;3;3;A-
BISE15_d;Mons;T4;3;4;A-
