verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species
Abelmoschus esculentus,Abelmoschus esculentus Moench,3152707,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,Abelmoschus esculentus
Abies,Abies Mill.,2684876,EXACT,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,
Absidia glauca,Absidia glauca Hagem,5250615,EXACT,98,ACCEPTED,SPECIES,Fungi,Zygomycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,Absidia glauca
Absidia,Absidia Tiegh.,2558224,EXACT,92,ACCEPTED,GENUS,Fungi,Zygomycota,Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,
Acacia mearnsii,Acacia mearnsii De Wild.,2979775,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia mearnsii
Acanthus mollis,Acanthus mollis L.,5415455,EXACT,97,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Acanthus,Acanthus mollis
Acaridae,Acaridae,6102,EXACT,96,ACCEPTED,FAMILY,Animalia,Arthropoda,Arachnida,Astigmata,Acaridae,,
Acaryophrya collaris,Acaryophrya collaris (Kahl 1926) Dingfelder 1962,7384897,EXACT,98,ACCEPTED,SPECIES,Chromista,Ciliophora,Gymnostomatea,Haptorida,Enchelyidae,Acaryophrya,Acaryophrya collaris
Acaulospora,Acaulospora Gerd. & Trappe,2560108,EXACT,94,ACCEPTED,GENUS,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,
Acaulospora laevis,Acaulospora laevis Gerd. & Trappe,2560113,EXACT,98,ACCEPTED,SPECIES,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,Acaulospora,Acaulospora laevis
Acaulosporaceae,Acaulosporaceae,3301,EXACT,96,ACCEPTED,FAMILY,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Acaulosporaceae,,
Acetobacteraceae,Acetobacteraceae,4728,EXACT,96,ACCEPTED,FAMILY,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
Achaeta affinis,Achaeta affinis Nielsen & Christensen 1959,8265293,EXACT,98,ACCEPTED,SPECIES,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Achaeta,Achaeta affinis
Achaeta bifollicula,Achaeta bifollicula Chalupsky 1992,8391327,EXACT,98,ACCEPTED,SPECIES,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Achaeta,Achaeta bifollicula
Achaeta cf. bohemica PDW-2010,Achaeta bohemica (Vejdovsky 1879),4409927,EXACT,98,SYNONYM,SPECIES,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Anachaeta,Anachaeta bohemica
Achaeta unibulba,Achaeta unibulba Graefe Dózsa-Farkas & Christensen 2005,8750602,EXACT,98,ACCEPTED,SPECIES,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Achaeta,Achaeta unibulba
Achaeta,Achaeta Vejdovsky 1878,2308383,EXACT,92,ACCEPTED,GENUS,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Achaeta,
Achillea,Achillea L.,3119995,EXACT,94,ACCEPTED,GENUS,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,
Achillea millefolium,Achillea millefolium Ledeb.,9221087,EXACT,98,ACCEPTED,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,Achillea millefolium
Acidimicrobiaceae,Acidimicrobiaceae,3848,EXACT,96,ACCEPTED,FAMILY,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,,
Acidimicrobiales,Acidimicrobiales,8368729,EXACT,96,ACCEPTED,ORDER,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,,,
Acidimicrobium,Acidimicrobium Clark & Norris 1996,3225859,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiaceae,Acidimicrobium,
Acidisphaera,Acidisphaera Hiraishi & al. 2000,3221548,EXACT,94,ACCEPTED,GENUS,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisphaera,
Aciditerrimonas,Aciditerrimonas Itoh & al. 2011,7462160,EXACT,94,ACCEPTED,GENUS,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,,Aciditerrimonas,
Acidobacteria,Acidobacteria,25,EXACT,94,ACCEPTED,PHYLUM,Bacteria,Acidobacteria,,,,,
Acidobacteriia,Acidobacteria,25C1,FUZZY,85,ACCEPTED,CLASS,Bacteria,Acidobacteria,Acidobacteriia,,,,
Acidobacteriaceae,Acidobacteriaceae,3811,EXACT,96,ACCEPTED,FAMILY,Bacteria,Acidobacteria,,Acidobacteriales,Acidobacteriaceae,,
Acidobacteriales,Acidobacteriales,1197,EXACT,96,ACCEPTED,ORDER,Bacteria,Acidobacteria,,Acidobacteriales,,,
