consumer_gbif_key,consumer_rank,consumer_name,interaction_type,resource_name,resource_gbif_key,resource_rank,reference,remark
2130185,SPECIES,Tetranychus urticae,parasiteOf,Abelmoschus esculentus,3152707,SPECIES,https://www.cabi.org/isc/datasheet/53366,
5262297,SPECIES,Phoma herbarum,parasiteOf,Acacia mearnsii,2979775,SPECIES,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Acanthus mollis,5415455,SPECIES,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Achillea millefolium,9221087,SPECIES,FungalDataBase,
2130185,SPECIES,Tetranychus urticae,parasiteOf,Achillea millefolium,9221087,SPECIES,https://www.cabi.org/isc/datasheet/53366,
2130185,SPECIES,Tetranychus urticae,parasiteOf,Actinidia chinensis,3189694,SPECIES,https://www.cabi.org/isc/datasheet/53366,
1269085,SPECIES,Aphidius ervi,parasiteOf,Acyrthosiphon pisum,2077503,SPECIES,https://www6.inra.fr/encyclopedie-pucerons/Especes/Parasitoides/Braconidae-Aphidiinae/Aphidius-ervi,
2513144,GENUS,Protomyces,parasiteOf,Aegopodium,3034619,GENUS,FungalDataBase,
2130185,SPECIES,Tetranychus urticae,parasiteOf,Ageratum conyzoides,5401673,SPECIES,https://www.cabi.org/isc/datasheet/53366,
2130185,SPECIES,Tetranychus urticae,parasiteOf,Ageratum houstonianum,5401760,SPECIES,https://www.cabi.org/isc/datasheet/53366,
5262297,SPECIES,Phoma herbarum,parasiteOf,Agrimonia,3001953,GENUS,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Agrimonia pubescens,3001959,SPECIES,FungalDataBase,
2626969,SPECIES,Olpidium brassicae,parasiteOf,Agropyron,2705193,GENUS,FungalDataBase,
3204289,SPECIES,Polymyxa graminis,parasiteOf,Agropyron repens,2706653,SPECIES,FungalDataBase,
2626969,SPECIES,Olpidium brassicae,parasiteOf,Agrostis,2706434,GENUS,FungalDataBase,
5249953,SPECIES,Waitea circinata,parasiteOf,Agrostis capillaris,2706490,SPECIES,FungalDataBase,
3204289,SPECIES,Polymyxa graminis,parasiteOf,Agrostis palustris,2706439,SPECIES,FungalDataBase,
5249953,SPECIES,Waitea circinata,parasiteOf,Agrostis stolonifera,2706435,SPECIES,FungalDataBase,
5249953,SPECIES,Waitea circinata,parasiteOf,Agrostis stolonifera,2706435,SPECIES,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Alchemilla vulgaris,7890713,SPECIES,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Alhagi,2945087,GENUS,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Alhagi persarum,2945106,SPECIES,FungalDataBase,
5262297,SPECIES,Phoma herbarum,parasiteOf,Allium cardiostemon,2856126,SPECIES,FungalDataBase,
2130185,SPECIES,Tetranychus urticae,parasiteOf,Allium cepa,2857697,SPECIES,https://www.cabi.org/isc/datasheet/53366,
2130185,SPECIES,Tetranychus urticae,parasiteOf,Allium sativum,2856681,SPECIES,https://www.cabi.org/isc/datasheet/53366,
5262297,SPECIES,Phoma herbarum,parasiteOf,Aloe plicatilis,2777937,SPECIES,FungalDataBase,
2555201,SPECIES,Rhizoctonia solani,parasiteOf,Amaranthaceae,3064,FAMILY,GLoBi,the first 15 families in terms of listed interactions
2626969,SPECIES,Olpidium brassicae,parasiteOf,Amaranthus,3085074,GENUS,FungalDataBase,
2513144,GENUS,Protomyces,parasiteOf,Ammi majus,3034182,SPECIES,FungalDataBase,
